building_name_and_address,matched_property,match_score
"Upton Place 4000 Wisconsin Ave NW, Washington, DC 20016",upton place 4000 wisconsin ave nw,76.74418604651163
"Ravel & Royale on Strathmore Square 10511 Strathmore Hall St, North Bethesda, MD 20852",ravel and royale i 10511 strathmore hall st,62.99212598425197
"Palazzo East Apartments 348 S Hauser Blvd, Los Angeles, CA 90036",las palmas 300 w los angeles dr,63.41463414634146
"Flats 8300 8300 Wisconsin Ave, Bethesda, MD 20814",flats 8300 8300 wisconsin ave,76.31578947368422
"Township Residences 901 E Phillips Ln, Centennial, CO 80122",township at highlands i 901 e phillips ln,68.96551724137932
"Vivo Apartments 270 Third Street, Cambridge, MA 02142",vivo apartment homes 270 third st,63.01369863013699
"Tremont Apartments 3645 Habersham Rd NE, Atlanta, GA 30305",tremont 3645 habersham rd ne,76.71232876712328
"Axiom Apartments 33 Rogers Street, Cambridge, MA 02142",446 cambridge street 446 cambridge st,64.1025641025641
"Olde Towne Residences 2301 Ostracod Ln, Raleigh, NC 27610",maa old town scottsdale 2929 n 70th st,58.53658536585367
"Saybrook Pointe 401 Briar Ridge Drive, San Jose, CA 95123",saybrook pointe 401 briar ridge dr,76.40449438202246
"The Reserve at Coconut Point 22980 Vista Edera Cir, Estero, FL 33928",the reserve at coconut point 22980 vista edera cir,86.20689655172413
"Mezzo Apartments 2171 Peachtree Rd NW, Atlanta, GA 30309",mezzo 2171 peachtree rd nw,75.36231884057972
"Island Club Apartments 2300 Catalina Cir, Oceanside, CA 92056",island club 2300 catalina cir,75.32467532467533
"Boulder Creek Apartments 3455 Table Mesa Dr, Boulder, CO 80305",boulder creek 3455 table mesa dr,79.01234567901234
"Palazzo West 6220 W 3rd St, Los Angeles, CA 90036",las palmas 300 w los angeles dr,64.1025641025641
"One Greenway Hudson & Kneeland, Boston, MA 02111",icon on the greenway 1232 e hudson blvd,58.82352941176471
"Peachtree Park Apartments 1000 Peachtree Park Dr NE, Atlanta, GA 30309",peachtree park 1000 peachtree park dr ne,82.4742268041237
"Bank and Boston Lofts 817 17th St, Denver, CO 80202",bank and boston lofts 817 17th st,80.48780487804879
"The Elm 4710 Elm St, Bethesda, MD 20814",the elm 4710 elm st,67.85714285714286
"Indian Oaks 5505 Cochran St, Simi Valley, CA 93063",indian oaks 5505 cochran st,72.0
"Lincoln Place 1050 Frederick St, Venice, CA 90291",academy lincoln 1850 p st,58.33333333333333
"Chestnut Hall 3900 Chestnut St, Philadelphia, PA 19104",chestnut hall 3900 chestnut st,73.17073170731707
"Preserve at Marin 350 Robin Dr, Corte Madera, CA 94925",preserve at marin 350 robin dr,73.17073170731707
"Sunnybrook Residences 2421 Brightcreek Falls Trl, Raleigh, NC 27610",the marley 1100 falls creek ln,57.14285714285714
"1045 on The Park 1045 Piedmont Ave NE, Atlanta, GA 30309",1045 on the park 1045 piedmont ave ne,81.31868131868131
"The Fremont 13021 E 21st Ave, Aurora, CO 80045",the fremont 13021 e 21st ave,77.77777777777779
"The District at Flagler Village 555 NE 8th St, Fort Lauderdale, FL 33304",the laurent at carolina forest 107 village center blvd,59.67741935483871
"Monterey Grove 6100 Monterey Hwy, San Jose, CA 95138",monterey grove 6100 monterey rd,71.60493827160495
"Charlesbank Apartment Homes 120 Pleasant St, Watertown, MA 02472",charlesbank apartment homes 120 pleasant st,81.9047619047619
"The Beach Club Residences 2900 Thomas Ave S, Minneapolis, MN 55416",calhoun beach club 2900 thomas ave s,65.1685393258427
"Parc Mosaic Apartment Homes 1590 Eisenhower Dr, Boulder, CO 80303",parc mosaic 1590 eisenhower dr,64.51612903225806
"The Watermarc at Biscayne Bay 2150 N Bayshore Dr, Miami, FL 33137",the lakes at brandon west 10011 balaye run dr,57.407407407407405
"Prism 50 Rogers St, Cambridge, MA 02142",prime 3875 cambridge st,66.66666666666667
"The Sterling 1815 John F Kennedy Blvd, Philadelphia, PA 19103",the sterling 1815 john f kennedy blvd,77.08333333333334
"One Canal Apartments 1 Canal St, Boston, MA 02114",one canal 1 canal st,71.42857142857143
"Southstar Lofts 521 S Broad St, Philadelphia, PA 19147",southstar lofts 521 s broad st,73.17073170731707
"Hidden Cove Apartments 910 Del Dios Hwy, Escondido, CA 92029",hidden cove 910 del dios rd,67.56756756756756
"Huntington Gateway 5982 Richmond Hwy, Alexandria, VA 22303",huntington gateway 5982 richmond hwy,78.26086956521739
"The Left Bank Apartments 3131 Walnut St, Philadelphia, PA 19104",left bank 3131 walnut st,64.86486486486487
"Villas at Park La Brea 5555 W 6th St, Los Angeles, CA 90036",las palmas 300 w los angeles dr,61.36363636363637
"Bay Parc Apartment Homes 1756 N Bayshore Dr, Miami, FL 33132",fox creek apartment homes 2312 victoria dr,62.0
"Malibu Canyon 5758 Las Virgenes Rd, Calabasas, CA 91302",la ventana at canyon west 4513 milwaukee ave,55.670103092783506
"Yorktown Apartment Homes 2233 S Highland Ave, Lombard, IL 60148",land's end apartment homes 1201 moore ave,66.66666666666667
"Allora Bear Creek 11918 Clay Rd, Houston, TX 77043",allora bear creek 11918 clay rd,78.48101265822784
"NOVU New Forest 6301 Pale Sage Dr, Houston, TX 77049",novu new forest 6301 pale sage dr,79.51807228915662
"Park at Siena 6901 County Road 110, Round Rock, TX 78665",siena round rock 6531 co rd 110,68.23529411764706
"FalconView 10691 Cadence Pt, Colorado Springs, CO 80921",falconview 10691 cadence point,67.46987951807229
"Haven at Main 8700 Main St, Houston, TX 77025",haven at main 8700 main st,75.36231884057972
"Thrive Almeda Genoa 10100 Almeda Genoa Rd, Houston, TX 77075",the fountains at almeda 9000 almeda rd,64.58333333333333
"Lively at Cypress Creek 13030 Perry Rd, Houston, TX 77070",smart living at cypress creek 12850 perry rd,68.68686868686868
"11 Eleven 1111 Blalock Rd, Houston, TX 77055",block 17 1161 nw overton st,57.971014492753625
"Park at Crystal Falls 7740 183A Toll Rd, Leander, TX 78641",park at crystal falls i 7740 183a toll rd,82.4742268041237
"Territory at 2920 3880 FM 2920 Rd, Spring, TX 77388",territory 2920 3880 farm to market 2920,70.45454545454545
"Territory Williams Way 5131 Williams Way Blvd, Richmond, TX 77469",territory at williams way 5131 williams way blvd,82.88288288288288
"Territory at Anserra 4000 Anserra Trl, Katy, TX 77494",velaire at aspera 7700 w aspera blvd,52.87356321839081
"The Sophie 108 Oak Creek Way, New Braunfels, TX 78130",the sophie 108 oak creek way,70.88607594936708
"The Collective Glendale 1250 S Clermont St, Denver, CO 80246",garrett at the collective 150 i st,60.86956521739131
"200 Carondelet 200 Carondelet St, New Orleans, LA 70130",200 carondelet 200 carondelet st,75.29411764705883
"Allora Klein Crossing 19025 Stuebner Airline Rd, Spring, TX 77379",allora klein crossing 19025 stuebner airline rd,85.45454545454545
"Smart Living Allen Genoa 1514 Allen Genoa Rd, Houston, TX 77017",smart living allen genoa 1514 allen genoa rd,83.80952380952381
"Smart Living at Telephone 3852 Telephone Rd, Houston, TX 77023",smart living at telephone 3852 telephone rd,83.49514563106796
"Park on Napoli 13802 Napoli Dr, Houston, TX 77070",park on napoli 13802 napoli dr,77.92207792207793
"Hollow Tree Park 101 Hollow Tree Ln, Houston, TX 77090",hollow tree park 101 hollow tree ln,80.45977011494253
"Virtuo Spring 4114 Farm to Market 2920, Spring, TX 77388",virtuo spring 4114 fm 2920,65.0
"Memorial at Six 816 Addicks-Howell Rd, Houston, TX 77079",memorial at six 816 addicks howell rd,72.52747252747253
"City View Lofts 15 Chenevert St, Houston, TX 77002",city view lofts 15 n chenevert st,76.54320987654322
"Retreat at Riverstone 18545 University Blvd, Sugar Land, TX 77479",the retreat at riverstone 18545 university blvd,81.81818181818181
"1300 North Post Oak 1300 N Post Oak Rd, Houston, TX 77055",1300 north post oak 1300 n post oak rd,81.72043010752688
"North Post Oak Lofts 1255 N Post Oak Rd, Houston, TX 77055",north post oak lofts 1255 n post oak rd,82.10526315789474
"The Pointe at East River Place 881 E River Pl, Jackson, MS 39202",estates at river pointe 1445 river estates dr,63.55140186915889
"Lodge At Merrilltown Apartments 14745 Merrilltown, Austin, TX 78728",lodge at merrilltown ii 14745 merrilltown dr,81.63265306122449
"Saddle Ridge 5711 N Knoll, San Antonio, TX 78240",saddle ridge 5711 n knoll,70.4225352112676
"Waterside Village 1901 Waterside Village Dr, Richmond, TX 77407",waterside village 1901 waterside village drive,82.2429906542056
"Stone Brook Seniors Active Adult Living 300 Stagecoach Trl, San Marcos, TX 78666",the station at san marco 1300 hendricks ave,51.23966942148761
"Smart Living at Garden Oaks 450 E Rogers St, Houston, TX 77022",smart living at garden oaks 450 e rogers st,83.49514563106796
"Trove Southtown 301 E Cevallos, San Antonio, TX 78204",trove southtown 301 e cevallos st,71.42857142857143
"SILVERTON VILLAGE 3700 Fm-85, Ennis, TX 75119",silverado village 3750 arville st,60.526315789473685
"Harbor Shores 15650 Walden Rd, Montgomery, TX 77356",harbor shores phase 1 15650 walden rd,72.09302325581395
"Eagles Landing 8000 Decker Ln, Austin, TX 78724",eagles landing 206 32nd st e,63.01369863013699
"Retreat at Texas City 7500 Emmett F Lowry Expy, Texas City, TX 77591",the heights at 701 701 e central texas expy,55.04587155963303
"Tuscany at Goldmark Senior Living - 62+ Only 13731 Goldmark Dr, Dallas, TX 75240",tuscany at lindbergh 600 garson dr ne,50.43478260869565
"Waterford at Goldmark - New 13695 Goldmark Dr, Dallas, TX 75240",park at waterford harbor 1420 marina bay dr,57.692307692307686
"Bent Tree Townhomes 1721 S Interstate Highway 35 E, Waxahachie, TX 75165",lantower edgewater 14201 n interstate hwy 35,56.14035087719298
"White Rock Apartment Homes 3110 Thousand Oaks Dr, San Antonio, TX 78247",the meadows apartment homes 1110 meadow lake dr,60.3448275862069
"Oak Timbers Fort Worth South Apartments 308 E Terrell Ave, Fort Worth, TX 76104",shoreham and tides 400 east south water street,53.57142857142857
"Southpark Village 1817 S Colorado St, Lockhart, TX 78644",southwest village 11726 w bellfort ave,58.69565217391304
"The Arboretum 8100 Huebner Rd, San Antonio, TX 78240",the arboretum 8100 huebner rd,73.41772151898735
"Los Prados Apartment Homes 125 Dyna Dr, Houston, TX 77060",stonegate apartment homes 4500 stone gate dr,66.66666666666667
"Sutter Ranch Apartments 10445 Greens Crossing Blvd, Houston, TX 77038",sutter ranch 10445 greens crossing blvd,82.10526315789474
"FPAR Forest Park 6936 Highway 70 S, Nashville, TN 37221",ledge rock i 4822 east state highway 60,58.69565217391304
"Tuscany at Wilson Creek 451 Wilson Creek Blvd, McKinney, TX 75069",martins creek 700 martins creek blvd,58.58585858585859
"Tealwood Place 5300 Professional Dr, Wichita Falls, TX 76302",flats at professional arts building 101 w read st,56.07476635514019
"Wildwood Branch - NEW 6225 Shady Oaks Manor Dr, Fort Worth, TX 76135",wildwood forest i & ii 455 wildwood forest dr,54.054054054054056
"Oak Timbers North Greenbriar 5201 James Ave, Fort Worth, TX 76115",greenbriar park north 818 richcrest dr,55.44554455445545
"The Meridian 4450 Marine Creek Pky, Fort Worth, TX 76106",meridian harbourview 7190 harbour towne pkwy,57.14285714285714
"Heritage Estates 10335 Old Bammel/N Houston Rd, Houston, TX 77086",the heritage apartment homes 1100 e osborn rd,61.111111111111114
"Woodglen Park I & II 6800-6850 S Cockrell Hill Rd, Dallas, TX 75236",park at crystal falls ii 7860 183a toll rd,54.20560747663552
"Saddlewood Club 3625 Wellborn Rd, Bryan, TX 77801",reveille ranch 3645 wellborn rd,58.97435897435898
"Homes of Parker Commons 1015 S Jennings Ave, Fort Worth, TX 76104",the park on morton 710 n morton st,55.670103092783506
"Mayfield Park Apartments 2104 Worth St, Arlington, TX 76014",top field 10701 cardington way,63.1578947368421
"Legacy Senior Housing 3225 Lake Arthur Dr, Port Arthur, TX 77642",arbors at the reservoir 959 lake harbour dr,53.333333333333336
"Ridgewood West 2830 Lake Rd, Huntsville, TX 77340",chisholm lake 3450 n ridgewood st,65.0
"Bellfort Pines Apartments 8300 Canyon St, Houston, TX 77051",echelon on 99 19400 w bellfort st,58.22784810126582
"Heritage Pointe 1950 Webberville Rd, Austin, TX 78721",kings pointe 14895 e. twelve mile rd,59.77011494252873
"Village at Collinwood 1001 Collinwood West Dr, Austin, TX 78753",salisbury village at castlewood 200 castlewood dr,60.0
"West Virginia 8004 W Virginia Dr, Dallas, TX 75237",virginia flats 219 virginia st,64.1025641025641
"Village at Fox Creek 2900 Illinois Ave, Killeen, TX 76543",the creek at forest hills 2247 wrightsville ave,62.745098039215684
"The Lofts at Highlands 1685 Cowles Ave, Longmont, CO 80504",the lofts at highlands 1685 cowles ave,80.85106382978724
