Title,Address,Price,Beds,Phone
"San Valiente
2220 W Mission Ln, Phoenix, AZ 85021","2220 W Mission Ln, Phoenix, AZ 85021",No Price,No Bed Info,No Phone
"Marlon at Central Park
4607 Xenia St, Denver, CO 80238","4607 Xenia St, Denver, CO 80238",No Price,No Bed Info,No Phone
"Beaudry
960 W 7th St, Los Angeles, CA 90017","960 W 7th St, Los Angeles, CA 90017",No Price,No Bed Info,No Phone
"Lilia Waikiki
2380 Kuhio Ave, Honolulu, HI 96815","2380 Kuhio Ave, Honolulu, HI 96815",No Price,No Bed Info,No Phone
"The Gardens Columbus
3701 Governors Club Blvd, Columbus, OH 43219","3701 Governors Club Blvd, Columbus, OH 43219",No Price,No Bed Info,No Phone
"Bayside Village
3 Bayside Village Pl, San Francisco, CA 94107","3 Bayside Village Pl, San Francisco, CA 94107",No Price,No Bed Info,No Phone
"The Met Las Vegas
2701 N Rainbow Blvd, Las Vegas, NV 89108","2701 N Rainbow Blvd, Las Vegas, NV 89108",No Price,No Bed Info,No Phone
"Tallulah
2490 Cobb Pky SE, Atlanta, GA 30339","2490 Cobb Pky SE, Atlanta, GA 30339",No Price,No Bed Info,No Phone
"The Merc
1800 Main St, Dallas, TX 75201","1800 Main St, Dallas, TX 75201",No Price,No Bed Info,No Phone
"Monaco Park
8350 W Desert Inn Rd, Las Vegas, NV 89117","8350 W Desert Inn Rd, Las Vegas, NV 89117",No Price,No Bed Info,No Phone
"VYV
474 Warren St, Jersey City, NJ 07302","474 Warren St, Jersey City, NJ 07302",No Price,No Bed Info,No Phone
"2626 South Side Flats
2626 S Tunnel Blvd, Pittsburgh, PA 15203","2626 S Tunnel Blvd, Pittsburgh, PA 15203",No Price,No Bed Info,No Phone
"Atelier
801 S Olive St, Los Angeles, CA 90014","801 S Olive St, Los Angeles, CA 90014",No Price,No Bed Info,No Phone
"Alder
19401 Parthenia St, Northridge, CA 91324","19401 Parthenia St, Northridge, CA 91324",No Price,No Bed Info,No Phone
"Domain
3100 Domain Cir, Kissimmee, FL 34747","3100 Domain Cir, Kissimmee, FL 34747",No Price,No Bed Info,No Phone
"The George
434 Minna St, San Francisco, CA 94103","434 Minna St, San Francisco, CA 94103",No Price,No Bed Info,No Phone
"Thayer and Spring
915 Silver Spring Ave, Silver Spring, MD 20910","915 Silver Spring Ave, Silver Spring, MD 20910",No Price,No Bed Info,No Phone
"Crosstown at Chapel Hill
6123 Farrington Rd, Chapel Hill, NC 27517","6123 Farrington Rd, Chapel Hill, NC 27517",No Price,No Bed Info,No Phone
"The Merian
601 11th Ave, San Diego, CA 92101","601 11th Ave, San Diego, CA 92101",No Price,No Bed Info,No Phone
"Mosso
900 Folsom St, San Francisco, CA 94107","900 Folsom St, San Francisco, CA 94107",No Price,No Bed Info,No Phone
"The Met
950 S Flower St, Los Angeles, CA 90015","950 S Flower St, Los Angeles, CA 90015",No Price,No Bed Info,No Phone
"8th and Grand
770 S Grand Ave, Los Angeles, CA 90014","770 S Grand Ave, Los Angeles, CA 90014",No Price,No Bed Info,No Phone
"The Logan
5110 Telegraph Ave, Oakland, CA 94609","5110 Telegraph Ave, Oakland, CA 94609",No Price,No Bed Info,No Phone
"The Pavilion
5441 NE NEast River Rd, Chicago, IL 60656","5441 NE NEast River Rd, Chicago, IL 60656",No Price,No Bed Info,No Phone
"Flats on Front
1045 N Front St, Wilmington, NC 28401","1045 N Front St, Wilmington, NC 28401",No Price,No Bed Info,No Phone
"Village on Memorial
15200 Memorial, Houston, TX 77079","15200 Memorial, Houston, TX 77079",No Price,No Bed Info,No Phone
"The Lofts At 1835 Arch
1835 Arch St, Philadelphia, PA 19103","1835 Arch St, Philadelphia, PA 19103",No Price,No Bed Info,No Phone
"Cielo
800 Seneca St, Seattle, WA 98101","800 Seneca St, Seattle, WA 98101",No Price,No Bed Info,No Phone
"Foundry Lofts
301 Tingey St SE, Washington, DC 20003","301 Tingey St SE, Washington, DC 20003",No Price,No Bed Info,No Phone
"Origin
700 N Randolph St, Arlington, VA 22203","700 N Randolph St, Arlington, VA 22203",No Price,No Bed Info,No Phone
"SKY55
1255 S Michigan Ave, Chicago, IL 60605","1255 S Michigan Ave, Chicago, IL 60605",No Price,No Bed Info,No Phone
"Vintage
50 Vintage Cir, Pleasanton, CA 94566","50 Vintage Cir, Pleasanton, CA 94566",No Price,No Bed Info,No Phone
"One Franklin Town
1 Franklin Town Blvd, Philadelphia, PA 19103","1 Franklin Town Blvd, Philadelphia, PA 19103",No Price,No Bed Info,No Phone
"Webster Eleven
1100 Webster St, Oakland, CA 94607","1100 Webster St, Oakland, CA 94607",No Price,No Bed Info,No Phone
"Ashford Place
905-905 Pineville Point Ave, Charlotte, NC 28217","905-905 Pineville Point Ave, Charlotte, NC 28217",No Price,No Bed Info,No Phone
"Meadow Glen
4201 W Union Hills Dr, Glendale, AZ 85308","4201 W Union Hills Dr, Glendale, AZ 85308",No Price,No Bed Info,No Phone
"Briggs & Union
12000 Knox Way, Mount Laurel, NJ 08054","12000 Knox Way, Mount Laurel, NJ 08054",No Price,No Bed Info,No Phone
"Stillwater
5560 S Vine St, Murray, UT 84107","5560 S Vine St, Murray, UT 84107",No Price,No Bed Info,No Phone
"James Pointe
632 E 6400 S, Murray, UT 84107","632 E 6400 S, Murray, UT 84107",No Price,No Bed Info,No Phone
"Solano at Miramar
11700 SW 26th St, Miramar, FL 33025","11700 SW 26th St, Miramar, FL 33025",No Price,No Bed Info,No Phone
"Sabal Pointe
12000 W Sample Rd, Coral Springs, FL 33065","12000 W Sample Rd, Coral Springs, FL 33065",No Price,No Bed Info,No Phone
"Courtney Ridge
7030 Pkwy Cmns Dr, Charlotte, NC 28217","7030 Pkwy Cmns Dr, Charlotte, NC 28217",No Price,No Bed Info,No Phone
"Chestnut Lake
17721 Whitney Rd, Strongsville, OH 44136","17721 Whitney Rd, Strongsville, OH 44136",No Price,No Bed Info,No Phone
