Title,Address,Price,Beds,Phone
"Luna Upper Westside
2265 Marietta Blvd NW, Atlanta, GA 30318","2265 Marietta Blvd NW, Atlanta, GA 30318",No Price,No Bed Info,No Phone
"Crest at Park Central
7929 Churchill Way, Dallas, TX 75251","7929 Churchill Way, Dallas, TX 75251",No Price,No Bed Info,No Phone
"Iris O4W
652 Angier Ave NE, Atlanta, GA 30308","652 Angier Ave NE, Atlanta, GA 30308",No Price,No Bed Info,No Phone
"Stillhouse Vinings
3158 Stillhouse Creek Dr, Atlanta, GA 30339","3158 Stillhouse Creek Dr, Atlanta, GA 30339",No Price,No Bed Info,No Phone
"Skyhouse South
100 6th St, Atlanta, GA 30308","100 6th St, Atlanta, GA 30308",No Price,No Bed Info,No Phone
"The Bishop
1115 Springwood Connector, Atlanta, GA 30328","1115 Springwood Connector, Atlanta, GA 30328",No Price,No Bed Info,No Phone
"Lorien
3131 Homestead Rd, Santa Clara, CA 95051","3131 Homestead Rd, Santa Clara, CA 95051",No Price,No Bed Info,No Phone
"Rosecliff
790 Willard St, Quincy, MA 02169","790 Willard St, Quincy, MA 02169",No Price,No Bed Info,No Phone
"Courthouse Plaza
2250 Clarendon Blvd, Arlington, VA 22201","2250 Clarendon Blvd, Arlington, VA 22201",No Price,No Bed Info,No Phone
"Sixes Ridge
4416 Holly Springs Pky, Holly Springs, GA 30115","4416 Holly Springs Pky, Holly Springs, GA 30115",No Price,No Bed Info,No Phone
"Aventine Littleton
2503 Primo Rd, Littleton, CO 80129","2503 Primo Rd, Littleton, CO 80129",No Price,No Bed Info,No Phone
"Centennial Tower and Court
2515 4th Ave, Seattle, WA 98121","2515 4th Ave, Seattle, WA 98121",No Price,No Bed Info,No Phone
"Troy Boston
55 Traveler St, Boston, MA 02118","55 Traveler St, Boston, MA 02118",No Price,No Bed Info,No Phone
"Station 92
10247 Highway 92, Woodstock, GA 30188","10247 Highway 92, Woodstock, GA 30188",No Price,No Bed Info,No Phone
"White Fence Farm
6273 W Jewell Ave, Lakewood, CO 80232","6273 W Jewell Ave, Lakewood, CO 80232",No Price,No Bed Info,No Phone
"Richmond Row
2950 Richmond Row Dr, Suwanee, GA 30024","2950 Richmond Row Dr, Suwanee, GA 30024",No Price,No Bed Info,No Phone
"The Sadie
228 Athenia Dr, Fort Worth, TX 76114","228 Athenia Dr, Fort Worth, TX 76114",No Price,No Bed Info,No Phone
"Alborada
1001 Beethoven Cmn, Fremont, CA 94538","1001 Beethoven Cmn, Fremont, CA 94538",No Price,No Bed Info,No Phone
"Liberty Park
1 Matthew Ln, Braintree, MA 02184","1 Matthew Ln, Braintree, MA 02184",No Price,No Bed Info,No Phone
"Lyric Sugar Hill
1170 Temple Dr, Sugar Hill, GA 30518","1170 Temple Dr, Sugar Hill, GA 30518",No Price,No Bed Info,No Phone
"Lofts at Kendall Square
195 Binney St, Cambridge, MA 02142","195 Binney St, Cambridge, MA 02142",No Price,No Bed Info,No Phone
"Alexan Harrison
3 Westchester Park Dr, West Harrison, NY 10604","3 Westchester Park Dr, West Harrison, NY 10604",No Price,No Bed Info,No Phone
"929 Mass
929 Massachusetts Ave, Cambridge, MA 02139","929 Massachusetts Ave, Cambridge, MA 02139",No Price,No Bed Info,No Phone
"The View at Woodstock
900 View Dr, Woodstock, GA 30189","900 View Dr, Woodstock, GA 30189",No Price,No Bed Info,No Phone
"The Arches
1235 Wildwood Ave, Sunnyvale, CA 94089","1235 Wildwood Ave, Sunnyvale, CA 94089",No Price,No Bed Info,No Phone
"Saxton
520 Terry Ave, Seattle, WA 98104","520 Terry Ave, Seattle, WA 98104",No Price,No Bed Info,No Phone
"Arbour Square
14770 Orchard Pky, Westminster, CO 80023","14770 Orchard Pky, Westminster, CO 80023",No Price,No Bed Info,No Phone
"Harbor Steps
1221 1st Ave, Seattle, WA 98101","1221 1st Ave, Seattle, WA 98101",No Price,No Bed Info,No Phone
"Alcott
36 Lomasney Way, Boston, MA 02114","36 Lomasney Way, Boston, MA 02114",No Price,No Bed Info,No Phone
