propertyName,priceRent,fullAddress,addressLine1,city,state,zip,longitude,latitude
Central Alabama: Home to Bustling Birmingham,1162,"1 Stonecrest Drive Birmingham, AL",1 Stonecrest Drive,Birmingham,AL,35242,-86.6601638,33.4072365
Find an Apartment in Mobile near Beautiful Beaches and More,1145,"6190 Girby Rd Mobile, AL",6190 Girby Rd,Mobile,AL,36693,-88.1844906,30.6190681
The Watts,946,"3700 Governors Dr NW Huntsville, AL",3700 Governors Dr NW,Huntsville,AL,35805,-86.6169073,34.7210256
,1655,"7998 St James Drive Clay, AL",7998 St James Drive,Clay,AL,35126,-86.557664,33.7352
,,"4804 Prt Washington Ln Orange Beach, AL",4804 Prt Washington Ln Orange,Beach,AL,36561,-87.5660982,30.2952272
"Apartments in Phoenix, AZ",1054,"9680 W Northern Avenue Peoria, AZ",9680 W Northern Avenue,Peoria,AZ,85345,-112.2675348,33.5539563
,1553,"6745 E Superstition Springs Blvd Mesa, AZ",6745 E Superstition Springs Blvd,Mesa,AZ,85206,-111.6879611,33.3842452
"Retreat to Goodyear, AZ",1411,"2100 North 145th Avenue Goodyear, AZ",2100 North 145th Avenue,Goodyear,AZ,85395,-112.372482,33.4698685
Colorado Springs Apartments With Stunning Views,960,"3310 Knoll Lane Colorado Springs, CO",3310 Knoll Lane Colorado,Springs,CO,80917,-104.7615171,38.8818961
,1556,"700 W 91st Ave Thornton, CO",700 W 91st Ave,Thornton,CO,80260,-104.9946883,39.8601797
,1569,"9375 Station Street Lone Tree, CO",9375 Station Street Lone,Tree,CO,80124,-104.8712202,39.5460692
,1595,"601 Merlin Dr. Lafayette, CO",601 Merlin Dr.,Lafayette,CO,80026,-105.0853379,39.9876155
,1648,"355 Burgundy Street Highlands Ranch, CO",355 Burgundy Street Highlands,Ranch,CO,80129,-104.9951814,39.5448198
"Apartments in Littleton, Colorado",1260,"10200 Park Meadows Drive Littleton, CO",10200 Park Meadows Drive,Littleton,CO,80124,-104.8750646,39.5491387
Lakewood Apartments for Rent,1442,"7410 W Warren Cir Lakewood, CO",7410 W Warren Cir,Lakewood,CO,80227,-105.0789361,39.6782366
"Apartments for Rent in Boulder, Colorado",1595,"601 Merlin Dr. Lafayette, CO",601 Merlin Dr.,Lafayette,CO,80026,-105.0853379,39.9876155
"Idyllic Apartments for Rent in Aurora, Colorado",1293,"13711 E Richthofen Cir Aurora, CO",13711 E Richthofen Cir,Aurora,CO,80011,-104.8275999,39.735848
,1528,"4875 DTC Blvd. Denver, CO",4875 DTC Blvd.,Denver,CO,80237,-104.8922707,39.6297294
,,"116 Danbury Road Wilton, CT",116 Danbury Road,Wilton,CT,06897,-73.4151857,41.1766829
,,"10 Willard Road Norwalk, CT",10 Willard Road,Norwalk,CT,06851,-73.3896925,41.128803
"Stamford, CT Apartments Near Manhattan",,"116 Danbury Road Wilton, CT",116 Danbury Road,Wilton,CT,06897,-73.4151857,41.1766829
,1895,"7000 Tides Circle Sarasota, FL",7000 Tides Circle,Sarasota,FL,34240,-82.4276993,27.3586351
Resident Life in Longwood,1440,"525 Sabal Lake Drive  Longwood, FL",525 Sabal Lake Drive,Longwood,FL,32779,-81.4130895,28.701411
"Experience Living in Brandon, FL",1328,"1919 Sterling Palms Ct  Brandon, FL",1919 Sterling Palms Ct,Brandon,FL,33511,-82.3206272,27.9082428
"Rental Communities in Maitland, FL",2195,"100 Boucle Jeanne Circle  Maitland, FL",100 Boucle Jeanne Circle,Maitland,FL,32751,-81.3682169,28.6157922
,,"2211 Amble Way Land O' Lakes, FL",2211 Amble Way Land O',Lakes,FL,34639,-82.4138056,28.187021
,,"812 S. Park Rd Hollywood, FL",812 S. Park Rd,Hollywood,FL,33021,-80.1768981,26.0045028
Living in Aventura,2282,"20080 West Dixie Hwy. Miami, FL",20080 West Dixie Hwy.,Miami,FL,33180,-80.1478301,25.9604193
Premier Apartments for Rent in Orlando,1751,"400 North Orlando Ave. Maitland, FL",400 North Orlando Ave.,Maitland,FL,32751,-81.362155,28.6295092
Picture Your Life in Tamarac,2416,"8171 N University Dr Tamarac, FL",8171 N University Dr,Tamarac,FL,33321,-80.2537381,26.2227125
Find a Charming Community in Coral Springs,1795,"1599 Northwest 91st Ave Coral Springs, FL",1599 Northwest 91st Ave Coral,Springs,FL,33071,-80.2453313,26.2502289
Premium Apartments for Rent in Doral,1435,"5611 NW 112th Avenue Doral, FL",5611 NW 112th Avenue,Doral,FL,33178,-80.3761294,25.8256656
Luxury Apartments for Rent in Miami,2100,"10445 Corkscrew Commons Drive Estero, FL",10445 Corkscrew Commons Drive,Estero,FL,33928,-81.7801974,26.4331765
,1424,"1697 Nantucket Ct Palm Harbor, FL",1697 Nantucket Ct Palm,Harbor,FL,34683,-82.7649455,28.0538465
Love Where You Live in Wellington,2306,"711 Forest Club Drive Wellington, FL",711 Forest Club Drive,Wellington,FL,33414,-80.2517757,26.6709685
,,"555 Fishing Lure Drive Avon Park, FL",555 Fishing Lure Drive Avon,Park,FL,33825,-81.5099066,27.5779477
Enjoy Lakeside Living in Auburndale,,"935 Groves Blvd. Auburndale, FL",935 Groves Blvd.,Auburndale,FL,33823,-81.8035477,28.1480341
"Resident Life in Fort Myers, Florida",1452,"4400 Cortina Circle Ft. Myers, FL",4400 Cortina Circle Ft.,Myers,FL,33916,-81.843952,26.6015246
Find Your Ultimate Urban Oasis in Jacksonville Apartments,,"14151 Wind Row Drive Jacksonville, FL",14151 Wind Row Drive,Jacksonville,FL,32221,-81.8673489,30.2386903
,2063,"12700 66th St N Largo, FL",12700 66th St N,Largo,FL,33773,-82.7301296,27.8885472
,,"101 Mirano Way Nokomis, FL",101 Mirano Way,Nokomis,FL,34275,-82.4442629,27.1192213
,1415,"380 Burbank Ave Ponte Vedra Beach, FL",380 Burbank Ave Ponte Vedra,Beach,FL,32081,-81.4466956,30.1074748
Unrivalled Convenience in Carrollwood,,"5412 Deerbrooke Creek Circle Tampa, FL",5412 Deerbrooke Creek Circle,Tampa,FL,33624,-82.5372659,28.0605022
,1700,"31434 Spruce Crk Cir Wesley Chapel, FL",31434 Spruce Crk Cir Wesley,Chapel,FL,33543,-82.297243,28.227561
Enjoy Elevated Living  in Plantation,1950,"7350 NW 4th St. Plantation, FL",7350 NW 4th St.,Plantation,FL,33317,-80.2467688,26.125752
Enjoy Carefree Living at our Apartments in Westshore,1617,"4400 West Spruce Street Tampa, FL",4400 West Spruce Street,Tampa,FL,33607,-82.5187869,27.9590043
Apartments for Rent in West Palm Beach,,"3111 So Dixie Hwy West Palm Beach, FL",3111 So Dixie Hwy West Palm,Beach,FL,33405,-80.0552386,26.6852807
Vibrant Apartments for Rent in Tampa,,"11500 N. Dale Mabry Hwy Tampa, FL",11500 N. Dale Mabry Hwy,Tampa,FL,33618,-82.5054567,28.0544978
,1330,"5115 Spanish Hbr Dr Wildwood, FL",5115 Spanish Hbr Dr,Wildwood,FL,34785,-82.0187032,28.8684369
"Discover Our Apartments in Ft. Lauderdale, FL",2400,"673 NE 3rd  Fort Lauderdale, FL",673 NE 3rd Fort,Lauderdale,FL,33301,-80.136642,26.1252889
Coastal Living in Delray Beach,1797,"15005 Michaelango Blvd Delray Beach, FL",15005 Michaelango Blvd Delray,Beach,FL,33446,-80.1579293,26.452053
,1350,"998 SE 3rd Avenue Ocala, FL",998 SE 3rd Avenue,Ocala,FL,34471,-82.1342415,29.1787636
"Coastal Living in Port St. Lucie, FL",2590,"10241 SW Newberry Ave Port St. Lucie, FL",10241 SW Newberry Ave Port St.,Lucie,FL,34987,-80.4378074,27.2785437
Coastal Living in Pensacola,1251,"8511 Myslak Way Pensacola, FL",8511 Myslak Way,Pensacola,FL,32526,-87.3461423,30.5328462
Experience Lakeland Living,1619,"1510 Big Oaks Drive Lakeland, FL",1510 Big Oaks Drive,Lakeland,FL,33810,-81.9777275,28.0990101
Become a Resident in Pembroke Pines,,"250 NW 130th Ave Pembroke Pines, FL",250 NW 130th Ave Pembroke,Pines,FL,33028,-80.3223552,26.0090963
Discover the Way of Life in Miramar Florida,2323,"11000 Miramar Parkway Miramar, FL",11000 Miramar Parkway,Miramar,FL,33025,-80.2921925,25.9791431
Live and Play Well at Town ‘N’ Country,,"8210 Solano Bay Loop Tampa, FL",8210 Solano Bay Loop,Tampa,FL,33635,-82.6404374,28.0286874
,,"3040 W. Bay Circle Kissimmee, FL",3040 W. Bay Circle,Kissimmee,FL,,-81.4039314,28.2955867
,,"1230 Front Place North Port, FL",1230 Front Place North,Port,FL,34287,-82.207889,27.065865
Find Your Next Home in Hialeah,1400,"6200 NW 173rd Street Hialeah, FL",6200 NW 173rd Street,Hialeah,FL,33015,-80.302159,25.9301862
,1500,"2500 Conserve Circle, Apopka, FL 32703 Apopka, FL","2500 Conserve Circle, Apopka, FL 32703",Apopka,FL,32703,-81.554381,28.675121
,,"1130 Upper Manatee River Rd Bradenton, FL",1130 Upper Manatee River Rd,Bradenton,FL,34212,-82.4347459,27.4883598
Living in Brevard County,1024,"1635 Monterey Dr NE Palm Bay, FL",1635 Monterey Dr NE Palm,Bay,FL,32905,-80.6185153,28.036737
"The Best Apartments in Gainesville, Florida",1640,"5900 SW 76th Court Gainesville, FL",5900 SW 76th Court,Gainesville,FL,32608,-82.4248283,29.5998794
,3500,"1001 NE 58th Street Oakland Park, FL",1001 NE 58th Street Oakland,Park,FL,33334,-80.1337014,26.1991882
Experience Resident Life at Boynton Beach,1852,"1605 Renaissance Commons Blvd N. Boyton Beach, FL",1605 Renaissance Commons Blvd N. Boyton,Beach,FL,33426,-80.0887209,26.5430539
Laid Back Living in Lauderhill,2259,"419 SE 2nd Street Ft Lauderdale, FL",419 SE 2nd Street Ft,Lauderdale,FL,33301,-80.1390857,26.121386
Luxury Apartments in Boca Raton,2281,"6503 N Military Trail Boca Raton, FL",6503 N Military Trail Boca,Raton,FL,33496,-80.1221437,26.4066171
Discover our Venice Apartments for rent in Florida,1727,"3615 Schoolhouse Road W Fort Myers, FL",3615 Schoolhouse Road W Fort,Myers,FL,33916,-81.845289,26.6054583
Country Charm in a Lawrenceville Apartment,,"1649 Braselton Hwy Lawrenceville, GA",1649 Braselton Hwy,Lawrenceville,GA,30043,-83.956717,34.027102
,,"2419 Derrick Drive Grayson, GA",2419 Derrick Drive,Grayson,GA,30017,-83.9896844,33.8877299
Midtown Apartments,1645,"915 W Peachtree St NW Atlanta, GA",915 W Peachtree St NW,Atlanta,GA,30309,-84.3868116,33.779742
,1999,"105 Creekside Boulevard Guyton, GA",105 Creekside Boulevard,Guyton,GA,31312,-81.269353,32.1945645
,1439,"7001 Clementine Trail Fairburn, GA",7001 Clementine Trail,Fairburn,GA,30066,-84.4920591,34.0362823
,,"445 Carl Bethlehem Road Winder, GA",445 Carl Bethlehem Road,Winder,GA,30620,-83.7492095,33.9392442
