company_name,building_name,raw_address,phone,Studio,1 Bedroom,2 Bedroom,3 Bedroom
Kairoi Residential,Ridian,"3295 Eliot St, Denver, CO 80211, USA",877.685.1485,2056,1855,2428,
Kairoi Residential,The Vixen,"1150 East Colfax Avenue, Denver, CO, USA",877.896.6674,1547,1917,2497,4047
Kairoi Residential,The Northern,"2600 Wewatta Way, Denver, Colorado 80216, USA",844.966.1507,1647,2093,2799,
Kairoi Residential,Park at Westover Hills,"4103 Rogers Rd, San Antonio, TX 78251, USA",844.951.2582,1395,1509,2025,2505
Kairoi Residential,The Nelson,"10801 Brezza Lane, Austin, TX 78748, USA",844.952.1977,,1460,1910,2560
Kairoi Residential,The Taylor,"3100 Carlisle St, Dallas, TX 75204, USA",844.954.1900,2016,2488,2823,4003
Kairoi Residential,The Annabel at Assembly Park,"6248 Assembly Park Blvd, Plano, TX 75074, USA",844.355.7369,,1534,2073,2614
Kairoi Residential,The Zephyr,"360 West 200 South, Salt Lake City, UT 84101, USA",,,,,
Kairoi Residential,5Line,"3722 S Tryon St, Charlotte, NC 28217, USA",844.355.8305,1326,1523,2354,
Kairoi Residential,Carter,"3300 N Scottsdale Rd, Scottsdale, AZ 85251, USA",844.472.4339,,,,
Kairoi Residential,Wonderyard,"1712 W San Antonio St, Lockhart, Texas 78644, USA",844.373.8595,,,,1958
Kairoi Residential,Ranch Creek,"16532 Bandera Rd, Helotes, TX 78023, USA",844.535.5209,1130,1210,1624,2130
Kairoi Residential,3100 Pearl,"3100 Pearl St, Boulder, CO 80301, USA",844.471.4030,2210,2288,2384,
Kairoi Residential,Us Bayou Park,"2221 W Dallas St, Houston, TX 77019, USA",855.971.3670,,1548,2500,
Kairoi Residential,Traverse,"5495 W 10th Ave, Lakewood, CO 80214, USA",844.642.2908,1389,1449,2115,
Kairoi Residential,Highgrove,"5900 Cameron Rd, Austin, TX 78723, USA",844.314.7354,,1234,1679,2748
Kairoi Residential,Quattro,"385 South 400 East, Salt Lake City, UT 84111, USA",844.352.6365,1253,1647,2188,3913
Kairoi Residential,300 Main,"300 N Main Ave, San Antonio, TX 78205, USA",800.376.3382,,,,
Kairoi Residential,The Edition,"12489 Research Blvd, Austin, TX 78759, USA",844.500.7584,1467,1626,2344,3109
Kairoi Residential,The Broadleaf,"1380 Uvalda Street, Aurora, CO 80011, USA",844.658.2680,1662,1814,2388,3780
Kairoi Residential,theYARD,"125 South Navajo Street, Salt Lake City, UT 84104, USA",,,,,
Kairoi Residential,Kalaco,"1010 W Colfax Ave, Denver, CO 80204, USA",800.552.4966,,,,
Kairoi Residential,The Mill Residences,"2315 Navigation Blvd, Houston, TX 77003, USA",844.375.1929,1728,1703,2828,
Kairoi Residential,Us 1604,"4710 North Loop 1604 East, San Antonio, TX 78247, USA",844.318.6299,,1489,1904,2369
Kairoi Residential,Us Cibolo,"315 Cibolo Commons, Cibolo, TX, USA",844.472.0368,,1335,1925,2645
Kairoi Residential,Elle West Ave,"300 West Ave, Austin, TX 78701, USA",844.315.4421,,,,
Kairoi Residential,The BLVD at Medical Center,"4980 Usaa Blvd, San Antonio, TX 78240, USA",844.202.9534,,1151,1583,1349
Kairoi Residential,theQUINCI,"1106 South Redwood Road, Salt Lake City, UT 84104, USA",844.612.4114,,,2304,2554
Kairoi Residential,Infinity LoHi,"2298 W 28th Ave, Denver, CO 80211, USA",844.905.1410,,,,
Kairoi Residential,The Post at Parmer,"12600 McCallen Pass, Austin, TX 78753, USA",844.677.1834,,1525,2212,2853
Kairoi Residential,The Bond,"10300 Metropolitan Dr, Austin, TX 78758, USA",844.659.9614,1391,1255,1500,
Kairoi Residential,Skyline Farmers Market,"835 S Good Latimer Expy, Dallas, TX 75226, USA",844.534.0498,1233,1124,1787,
Kairoi Residential,ZIA Sunnyside,"4055 Inca St, Denver, CO 80211, USA",844.593.7448,1249,1502,1603,3133
Kairoi Residential,Bluebonnet Preserve,"14708 Immanuel Rd, Pflugerville, TX 78660, USA",855.767.0522,,1112,1436,
Kairoi Residential,Residences at 6G,"600 Guadalupe St, Austin, TX 78701, USA",833.694.2098,2607,3103,5471,20119
Kairoi Residential,The Ellery at Westchester,"4210 Dechman Dr, Grand Prairie, TX 75052, USA",833.217.9917,,1311,1665,2597
Kairoi Residential,E6,"2400 E 6th St, Austin, TX 78702, USA",844.659.9514,1399,1733,2525,
Kairoi Residential,Signature Ridge,"3711 Medical Dr, San Antonio, TX 78229, USA",855.204.7806,,842,1101,1619
