company_name,building_name,raw_address,phone
Knightvest Residential,Aberdeen at Bellmar,"10843 North Central Expressway, Dallas, TX",214-428-6001
Knightvest Residential,Alexander,"1475 Sawdust Rd, The Woodlands, TX",281-502-4630
Knightvest Residential,Alys,"15000 Mansions View Dr., Conroe, TX",936-253-1971
Knightvest Residential,Archer Medical District,"2140 Medical District Dr, Dallas, TX",214-441-6018
Knightvest Residential,Asheville at Spring Branch,"10800 Clay Rd , Houston, TX",281-502-4759
Knightvest Residential,Ashmore,"4201 Fairmont Parkway, Pasadena, TX",281-502-4349
Knightvest Residential,Ashwood,"901 New Meister Lane, Pflugerville, TX",512-859-7274
Knightvest Residential,Avondale Parc at Bellmar,"10830 Stone Canyon Rd, Dallas, TX",214-428-6015
Knightvest Residential,Barron Park,"2526 Business Center Dr., Pearland, TX",346-489-5653
Knightvest Residential,Beacon Lakes,"555 FM Rd 646, Dickinson, TX",281-946-2862
Knightvest Residential,Belclaire,"5600 SMU Boulevard, Dallas , TX",469-218-6282
Knightvest Residential,Belmond,"4699 Fossil Vista Dr, Haltom City, TX",682-253-8835
Knightvest Residential,Briar Forest Lofts,"13202 Briar Forest Dr, Houston, TX",281-500-8498
Knightvest Residential,Carrara at Cole,"4649 Cole Ave, Dallas, TX",214-319-8554
Knightvest Residential,Cayman,"12900 E Loop 1604 N, Universal City, TX",210-750-4537
Knightvest Residential,Chandler at University Tower,"20 Morcroft Lane, Durham, NC",919-444-8542
Knightvest Residential,Charleston,"14555 Blanco Rd, San Antonio, TX",210-903-9729
Knightvest Residential,Clifton on 7th,"1002 N. 7th Street, Phoenix, AZ",(602) 603-4002
Knightvest Residential,Collier,"413 Swenson Farms Blvd., Pflugerville, TX",512-548-4287
Knightvest Residential,Costa Bella,"1703 N Loop 1604 W, San Antonio, TX",726-207-9822
Knightvest Residential,Crossroads Ranch,"12655 Crossroads Park Dr, Houston, TX",281-916-8835
Knightvest Residential,Cypress,"4690 Eldorado Pkwy, McKinney, TX",469-224-5748
Knightvest Residential,Cyprus,"220 W Bell Rd, Phoenix, AZ",602-780-3103
Knightvest Residential,Domain Memorial,"14800 MEMORIAL DRIVE, Houston, TX",832-862-5939
Knightvest Residential,Dorian and Encore,"4700 Tribeca Ln., Plano, TX",469-765-3051
Knightvest Residential,Easton,"6033 De Zavala Rd, San Antonio, TX",210-903-5987
Knightvest Residential,Everton at Bellmar,"10588 Stone Canyon Rd, Dallas, TX",214-609-1977
Knightvest Residential,Florence,"2250 Eldridge Pkwy, Houston, TX",281-576-8674
Knightvest Residential,Forester,"2025 Timber Oaks Ln., Charlotte, NC",704-610-7915
Knightvest Residential,Hadley at Bellmar,"10640 Steppington, Dallas, TX",214-319-8931
Knightvest Residential,Halston,"8850 Ferguson Rd, Dallas, TX",214-319-8468
Knightvest Residential,Kade,"3301 Hudnall St., Dallas, TX",469-415-0725
Knightvest Residential,Kimpton,"7500 Kirby Dr, Houston, TX",281-843-3189
