company_name,building_name,raw_address
Mid America Apartments,Colonial Grand at Riverchase Trails,"1000 Riverchase Trail, Birmingham, AL 35244"
Mid America Apartments,MAA Trussville,"90 Meadows Drive, Birmingham, AL 35235"
Mid America Apartments,MAA Eagle Ridge,"One Eagle Ridge Drive, Birmingham, AL 35242"
Mid America Apartments,MAA Liberty Park,"1750 Bartholdi Parkway, Birmingham, AL 35242"
Mid America Apartments,Birchall at Ross Bridge,"100 Birchall Lane, Hoover, AL 35226"
Mid America Apartments,MAA Traditions,"6061 Colonial Parkway, Gulf Shores, AL 36542"
Mid America Apartments,MAA Cypress Village,"23838 Cypress Manor, Orange Beach, AL 36561"
Mid America Apartments,MAA Providence Main,"685 Providence Main Street, Huntsville, AL 35806"
Mid America Apartments,MAA Madison Lakes,"2300 Colonial Lake Drive, Madison, AL 35758"
Mid America Apartments,MAA Edgewater,"1030 Grande View Blvd., Huntsville, AL 35824"
Mid America Apartments,MAA Central Ave,"31 East Thomas Road, Phoenix, AZ 85012"
Mid America Apartments,MAA Midtown Phoenix,"400 E. Earll Drive, Phoenix, AZ 85012"
Mid America Apartments,MAA Camelback,"6400 East Thomas Road, Scottsdale, AZ 85251"
Mid America Apartments,MAA Foothills,"32615 North Valley Parkway, Phoenix, AZ 85085"
Mid America Apartments,MAA Fountainhead,"2520 South Plaza Drive, Tempe, AZ 85282"
Mid America Apartments,MAA City Gate,"5332 East Baseline Road, Mesa, AZ 85206"
Mid America Apartments,MAA Lyon's Gate,"3301 E Ray Rd, Gilbert, AZ 85296"
Mid America Apartments,MAA SkySong,"1301 N. Scottsdale Road, Scottsdale, AZ 85257"
Mid America Apartments,MAA Sky View,"4632 E Germann Rd., Gilbert, AZ 85297"
Mid America Apartments,MAA Old Town Scottsdale,"2929 N. 70th Street, Scottsdale, AZ 85251"
Mid America Apartments,MAA Milepost 35,"4692 N Beeler Ct., Denver, CO 80238"
Mid America Apartments,MAA River North,"1859 28th Street, Denver, CO 80216"
Mid America Apartments,MAA Promenade,"6963 W 109th Ave., Westminster, CO 80020"
Mid America Apartments,MAA Westglenn,"9030 Wadsworth Blvd, Westminster, CO 80021"
Mid America Apartments,MAA Massachusetts Avenue,"1499 Massachusetts Avenue, NW, Washington, DC 20005"
Mid America Apartments,MAA Coral Springs,"9111 Ramblewood Drive, Coral Springs, FL 33071"
Mid America Apartments,MAA Steeplegate,"1105 Ft. Clarke Blvd., Gainesville, FL 32606"
Mid America Apartments,MAA Magnolia Parke,"4170 NW 50th Terrace, Gainesville, FL 32606"
Mid America Apartments,MAA Town Center,"9825 Gate Parkway North, Jacksonville, FL 32246"
Mid America Apartments,MAA Atlantic,"1715 Hodges Blvd., Jacksonville, FL 32224"
Mid America Apartments,MAA Mandarin North,"10275 Old St. Augustine Rd, Jacksonville, FL 32257"
Mid America Apartments,MAA Belmont,"3900 Oldfield Crossing Dr, Jacksonville, FL 32223"
Mid America Apartments,MAA Mandarin Lakes,"11001 Old St.augustine Rd., Jacksonville, FL 32257"
Mid America Apartments,MAA Deerwood,"10100 Baymeadows Road, Jacksonville, FL 32256"
Mid America Apartments,MAA Tapestry Park,"9734 Tapestry Park Circle, Jacksonville, FL 32246"
Mid America Apartments,MAA Fleming Island,"2285 Marsh Hawk Lane, Fleming Island, FL 32003"
Mid America Apartments,MAA Southlake,"8700 Southside Blvd., Jacksonville, FL 32256"
Mid America Apartments,MAA 220 Riverside,"220 Riverside Avenue, Jacksonville, FL 32202"
Mid America Apartments,MAA Boggy Creek,"3060 Landings Circle, Orlando, FL 32824"
Mid America Apartments,MAA Lake Nona,"10203 Falcon Parc Blvd, Orlando, FL 32832"
Mid America Apartments,MAA Sand Lake,"6265 Sand Lake Vista Drive, Orlando, FL 32819"
Mid America Apartments,MAA Crosswater,"7826 Crosswater Trail, Windermere, FL 34786"
Mid America Apartments,MAA Town Park,"1050 Colonial Grand Lane, Lake Mary, FL 32746"
Mid America Apartments,MAA Tiffany Oaks,"351 S Northlake Blvd., Altamonte Springs, FL 32701"
Mid America Apartments,MAA Twin Lakes,"11500 Myrtlewood Drive, Sanford, FL 32771"
Mid America Apartments,MAA Baldwin Park,"4688 New Broad Street, Orlando, FL 32814"
Mid America Apartments,MAA Parkside,"431 E. Central Blvd., Orlando, FL 32801"
Mid America Apartments,MAA Windermere,"11598 Lachlan Lane, Windermere, FL 34786"
Mid America Apartments,MAA Heather Glen,"13184 Heather Moss Drive, Orlando, FL 32837"
Mid America Apartments,MAA Randal Lakes,"9200 Randal Park Blvd, Orlando, FL 32832"
Mid America Apartments,MAA Lake Mary,"225 Sunlight Lane, Lake Mary, FL 32746"
Mid America Apartments,MAA Heathrow,"1122 Greenstone Boulevard, Heathrow, FL 32746"
Mid America Apartments,MAA Robinson,"310 N Orange Ave, Orlando, FL 32801"
Mid America Apartments,MAA Emerald Coast,"98 Paddock Club Drive, Panama City Beach, FL 32407"
Mid America Apartments,MAA Southwood,"3700 Capital Circle S.E., Tallahassee, FL 32311"
Mid America Apartments,MAA Oak Grove,"1900 Centre Pointe Blvd, Tallahassee, FL 32308"
Mid America Apartments,MAA Breakwater,"5432  West Tyson Ave, Tampa, FL 33611"
Mid America Apartments,MAA Brandon,"921 Paddock Club Drive, Brandon, FL 33511"
Mid America Apartments,MAA Indigo Point,"1850 Providence Lakes, Brandon, FL 33511"
Mid America Apartments,MAA Lakewood Ranch,"8100 Natures Way, Lakewood Ranch, FL 34202"
