company_name,building_name,raw_address
Prometheus Apartments,The Bower,"1095 Rollins Road, Burlingame, CA 94010"
Prometheus Apartments,Crystal Springs Terrace,"2000 Crystal Springs Road, San Bruno, CA 94066"
Prometheus Apartments,Brickline Flats,"2000 Crystal Springs Road, San Bruno, CA 94066"
Prometheus Apartments,The Markham,"20800 Homestead Road, Cupertino, CA 95014"
Prometheus Apartments,The Biltmore,"10159 S Blaney Avenue, Cupertino, CA 95014"
Prometheus Apartments,McClellan Terrace,"7954 McClellan Rd, Cupertino, CA 95014"
Prometheus Apartments,Holloway,"20200 Lucille Avenue, Cupertino, CA 95014"
Prometheus Apartments,Sonter,"10200 Miller Avenue, Cupertino, CA 95014"
Prometheus Apartments,Cupertino Park Center,"20380 Stevens Creek Boulevard, Cupertino, CA 95014"
Prometheus Apartments,Cupertino City Center,"20350 Stevens Creek Boulevard, Cupertino, CA 95014"
Prometheus Apartments,Icon at Doyle,"5540 Doyle Street, Emeryville, CA 94608"
Prometheus Apartments,Icon at Park,"1401 Park Avenue, Emeryville, CA 94608"
Prometheus Apartments,The Mercer,"1655 N. California Boulevard , Walnut Creek, CA 94597"
Prometheus Apartments,Miramar,"1288 E Hillsdale Boulevard, Foster City, CA 94404"
Prometheus Apartments,Beach Park,"1999 Beach Park Boulevard, Foster City, CA 94404"
Prometheus Apartments,The Lagoons,"611 Bounty Drive, Foster City, CA 94404"
Prometheus Apartments,The Dean,"458 San Antonio Rd, Mountain View, CA 94040"
Prometheus Apartments,The Hadley,"555 East Evelyn Ave, Mountain View, CA 94041"
Prometheus Apartments,The Tillery,"1720 Villa St, Mountain View, CA 94041"
Prometheus Apartments,Park Place,"851 Church Street, Mountain View, CA 94041"
Prometheus Apartments,Montrose,"1720 West El Camino Real, Mountain View, CA 94040"
Prometheus Apartments,Madrone,"111 N Rengstorff Avenue, Mountain View, CA 94043"
Prometheus Apartments,Madera,"455 W Evelyn Avenue, Mountain View, CA 94041"
Prometheus Apartments,Heatherstone,"877 Heatherstone Way, Mountain View, CA 94040"
Prometheus Apartments,Hiro,"761 West Middlefield Road, Mountain View, CA 94043"
Prometheus Apartments,100 Moffett,"100 Moffett Boulevard, Mountain View, CA 94043"
Prometheus Apartments,Metropolitan,"338 S Fremont Street, San Mateo, CA 94401"
Prometheus Apartments,Chesapeake Point,"1633 Marina Court, San Mateo, CA 94403"
Prometheus Apartments,Trestle,"333 El Camino Real, San Carlos, CA 94070"
Prometheus Apartments,The Benton,"588 El Camino Real, Santa Clara, CA 95050"
Prometheus Apartments,550 Moreland,"550 Moreland Way, Santa Clara, CA 95051"
Prometheus Apartments,Alderwood,"900 Pepper Tree Lane, Santa Clara, CA 95051"
Prometheus Apartments,Boardwalk,"3770 Flora Vista Avenue, Santa Clara, CA 95051"
Prometheus Apartments,Cobalt,"50 Saratoga Avenue, Santa Clara, CA 95051"
Prometheus Apartments,Hearth,"2870 Kaiser Drive, Santa Clara, CA 95051"
Prometheus Apartments,Mansion Grove,"502 Mansion Park Drive, Santa Clara, CA 95054"
Prometheus Apartments,Orchard Glen,"101 Saratoga Avenue, Santa Clara, CA 95051"
Prometheus Apartments,Park Central,"1050 Benton Street, Santa Clara, CA 95050"
Prometheus Apartments,Timberleaf,"2147 Newhall Street, Santa Clara, CA 95050"
Prometheus Apartments,Oak & Umber,"913 Gail Avenue, Sunnyvale, CA 94086"
Prometheus Apartments,Spruce,"655 South Fair Oaks Avenue, Sunnyvale, CA 94086"
Prometheus Apartments,Shadowbrook,"235 S Bernardo Avenue, Sunnyvale, CA 94086"
Prometheus Apartments,Parallel,"1141 W Olive Avenue, Sunnyvale, CA 94086"
Prometheus Apartments,Kensington Place,"1220 N Fair Oaks Avenue, Sunnyvale, CA 94089"
Prometheus Apartments,Ironworks,"457 East Evelyn Avenue, Sunnyvale, CA 94086"
Prometheus Apartments,Freewell,"2030 NW Raleigh St., Portland, OR 97209"
Prometheus Apartments,The Carson,"2121 NW Savier St., Portland, OR 97210"
Prometheus Apartments,Raleigh Slabtown,"2222 NW Raleigh Street, Portland, OR 97210"
Prometheus Apartments,Saltwood,"2050 NW Raleigh St., Portland, OR 97209"
Prometheus Apartments,Essex House,"1330 SW 3rd Avenue, Portland, OR 97201"
Prometheus Apartments,The Merrick,"1231 NE Martin Luther King Jr. Blvd., Portland, OR 97232"
Prometheus Apartments,Cliffside,"2413 Cliffside Lane NW, Gig Harbor, WA 98335"
