company_name,building_name,raw_address
Rose Associates,Caesura,280 Ashland Place
Rose Associates,Hoyt and Horn,45 Hoyt St
Rose Associates,The Pierrepont,146 Pierrepont Street
Rose Associates,The Willoughby,196 Willoughby Street
Rose Associates,4 South Pinehurst Avenue,4 South Pinehurst Avenue
Rose Associates,511 West 235th Street,511 West 235th Street
Rose Associates,560 West 218th Street,560 West 218th Street
Rose Associates,600 West 218th Street,600 West 218th Street
Rose Associates,66 St. Nicholas Place,66 St. Nicholas Place
Rose Associates,725 West 184th Street,725 West 184th Street
Rose Associates,Broadway Towers,4113 Broadway
Rose Associates,Tapestry,245 East 124th Street
Rose Associates,Victoria Tower Residences,230 West 126th Street
Rose Associates,222W80,222 W 80th Street
Rose Associates,Anagram Columbus Circle,1 West 60th St
Rose Associates,Manhill Apartments,222 West 83rd Street
Rose Associates,The Larstrand,227 West 77th Street
Rose Associates,The Melar,250 West 93rd Street
Rose Associates,Westview Apartments,765 Amsterdam Ave
Rose Associates,20 East 67th Street,20 East 67th Street
Rose Associates,301 E 94th Apartments,301 E 94th St
Rose Associates,4 East 89th Street,4 East 89th Street
Rose Associates,40 East 89th Street,40 East 89th Street
Rose Associates,The Caldwell,1520 York Avenue
Rose Associates,The Ventura,240 East 86th Street
Rose Associates,Carnegie Mews,211 West 56th Street
Rose Associates,The Ellington,260 West 52nd Street
Rose Associates,House 39,225 East 39th Street
Rose Associates,Rivercourt,429 E. 52nd Street
Rose Associates,The Metropolis,150 East 44th Street
Rose Associates,The Sutton Collection,"360 East 55th Street, 404 East 55th Street, 405 East 54th Street"
Rose Associates,21 West Street,21 West Street
Rose Associates,70 Pine,70 Pine Street
Rose Associates,7W21,7 West 21st Street
Rose Associates,88 Leonard,88 Leonard Street
Rose Associates,Chelsea Landmark,55 West 25th Street
Rose Associates,Echelon Chelsea,37 West 21st St.
Rose Associates,London Terrace Gardens,435 West 23rd Street
Rose Associates,The Nathaniel,138 East 12th Street
Rose Associates,55 Riverwalk Place,55 Riverwalk Place
Rose Associates,Riverbend at Port Imperial,25 Ave at Port Imperial
Rose Associates,41 Kew Gardens Road,41 Kew Gardens Road
Rose Associates,8 Court Square,8 Court Square
Rose Associates,Park Crest Terrace,101-06 67th Drive
Rose Associates,The Alexander,61-55 Junction Boulevard
Rose Associates,The Maximilian,5-11 47th Ave
Rose Associates,40 Barker Ave,40 Barker Ave
Rose Associates,Alexander Crossing,57 Alexander St
Rose Associates,Beacon Hill Apartments,24-82 Beacon Hill Drive
Rose Associates,Hamilton Crossing Apartments,440 Hamilton Avenue
Rose Associates,River Park,70 Virginia Road
Rose Associates,The Halden,1137 Westchester Avenue
Rose Associates,The Summit at Dobbs Ferry,200 Beacon Hill Dr.
Rose Associates,Boardwalk Apartments,210 Shore Road
Rose Associates,Plaza East Apartments,465 Shore Road
Rose Associates,Stony Run At The Stockade,305 Hurley Avenue
Rose Associates,Canfield Park at Fairfield Metro,306 Canfield Avenue
