featured-tag,js-property-details href,prop-img src,prop-phone href,prop-phone,js-property-details,prop-address,description
Featured,https://home.securityproperties.com/5819glisan/?utm_source=corporate/,https://medialibrarycfo.entrata.com/15728/MLv3/3/21/2021/12/28/040629/61cb9875907a96.72391514141.jpg,tel:503-386-0430,(503) 386-0430,5819 Glisan Apartments,"5819 NE Glisan, Portland, OR, 97213","5819 Glisan Apartments is only a few minutes from downtown Portland in the appealing Mount Tabor neighborhood, and many of the striking 1 and 2 bedroom apartment homes have splendid views of the city and even Mount Hood."
Featured,https://home.securityproperties.com/augusta/?utm_source=corporate/,https://medialibrarycfo.entrata.com/fit-in/600x400/15728/MLv3/3/21/2022/2/4/28554/5dae00cd0bd1c4.41850108635.jpg,tel:564-444-6837,(564) 444-6837,Augusta Apartments,"4041 Roosevelt Way NE, Seattle, WA, 98105","Welcome to Augusta Apartments in Seattle, WA. Choose from a variety of spacious and well-designed 1-, 2- and 3-bedroom homes."
Featured,https://home.securityproperties.com/brightleaf/?utm_source=corporate/,https://medialibrarycfo.entrata.com/15728/MLv3/3/21/2022/12/16/085404/639c949bc7eb98.27177578367.png,tel:512-768-0791,(512) 768-0791,Brightleaf At Lakeline,"14115 N Highway 183, Austin, TX, 78717",Brightleaf at Lakeline offers one and two-bedroom floor plans designed for those with the most discerning taste.
Featured,https://www.echolakeapartments.com/?rccustomid=njkymda%3d-d6px3qyi0to%3d&utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:206-546-2400,(206) 546-2400,Echo Lake Apartments,"1150 N. 192nd Street, Shoreline, WA, 98133","Welcome to Echo Lake Apartments in Shoreline, WA. Choose your new luxury apartment home from a remarkable variety of studio, 1, 2, and 3 bedroom floor plans, as well as one and two bedroom town homes."
Featured,https://www.securityproperties.com/seattle/hana-apartments/conventional/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:564-216-6438,(564) 216-6438,HANA Apartments,"101 6th Ave S, Seattle, WA, 98104","Trendy urban style meets smartly designed affordability all in a 4-Star Built Green community with studio, one and two bedroom apartments."
Featured,https://home.securityproperties.com/martingale/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:360-633-8889,(360) 633-8889,Martingale Apartments,"8675 Litt Dr SE, Lacey, WA, 98516","In life and in apartments, there can only be one winner. Meet the front runner, Martingale, a new community in Lacey, WA. Offering Studio, 1- and 2-bedroom apartment homes."
Featured,https://home.securityproperties.com/oaksofkyle/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:512-504-0200,(512) 504-0200,Oaks Of Kyle Apartments,"200 Philomena Dr, Kyle, TX, 78640","Oaks of Kyle is a new apartment community located in beautiful Kyle, Texas offering designer one, two and three bedroom apartment homes!"
Featured,https://splashapartments.com/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:206-591-0550,(206) 591-0550,Splash Apartments,"875 NE 27TH Ave, Portland, OR, 97232",Splash Apartments is a brand-new community located in Portland’s lively eastside for those who seek close-in convenience and stand-out character. Our homes are spacious and elevated with stylish finishes and thoughtful design.
Featured,https://home.securityproperties.com/stoneridgefarms/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:615-451-7057,(615) 451-7057,Stoneridge Farms At The Hunt Club Apartments,"2325 Nashville Pike, Gallatin, TN, 37066","Welcome home to Stoneridge Farms at the Hunt Club Apartments, offering 1 and 2 bedroom apartments for rent in Gallatin, TN."
Featured,https://home.securityproperties.com/thebluffs/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:303-814-0400,(303) 814-0400,The Bluffs At Castle Rock Apartments,"483 Scott Blvd, Castle Rock, CO, 80104","Welcome to The Bluffs at Castle Rock Apartments. The one, two and three bedroom homes at The Bluffs at Castle Rock Apartments have been recently renovated and are the ideal place to call home!"
Featured,https://theconfidentialapts.com/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,,,The Confidential,"2315 4th Ave, Seattle, WA, 98121",The Confidential is a brand-new high-rise community in Seattle's Belltown neighborhood. Our residents own a truly local perspective and live in the know. We offer functionally chic homes with sophisticated finishes and stunning city views.
Featured,https://home.securityproperties.com/thehenley/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:707-428-1222,(707) 428-1222,The Henley Apartment Homes,"313 Sandy Lane, Suisun City, CA, 94585","The Henley is a charming community of apartment homes less than 2 miles from the Suisun City Waterfront District, where you can find outstanding venues for shopping, dining, cultural events, festivals, and outdoor recreation of all kinds."
Featured,https://home.securityproperties.com/toscana/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:360-489-6377,(360) 489-6377,Toscana Apartments,"6679 Birdseye Ave NE, Lacey, WA, 98516","Experience Toscana, a unique apartment home community in Lacey Washington - in the heart of the Puget Sound. Offering Studio, 1- and 2-Bedroom Homes."
,https://home.securityproperties.com/624yale/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:206-624-6240,(206) 624-6240,624 Yale Apartments,"624 Yale Ave N, Seattle, WA, 98109","624 Yale offers numerous, spacious and nicely-appointed floor plans to choose from, you are sure to find a home suited to your taste on South Lake Union."
,https://angelineapartments.com/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:206-723-1843,(206) 723-1843,Angeline Apartments,"4801 Rainier Ave S, Seattle, WA, 98118","You think, dream, and live globally! Your community is your passport to the global way of life you aspire to - locally, in Columbia City, Seattle, WA. Surrounded by diverse culture and exciting possibilities."
,https://home.securityproperties.com/anthology/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:425-274-2474,(425) 274-2474,Anthology Apartments,"1610 Anthology Ave NW, Issaquah, WA, 98027","Here you'll find a balance of traditional and urban buildings, walking trails and parks, and common area amenities that, together, create a Scandinavian-inspired neighborhood that feels right, right now."
,https://home.securityproperties.com/arborcreekapartments/?utm_source=corporate/,https://www.securityproperties.com/website_templates/_common/display_type/responsive/img/transparent.png,tel:503-642-4055,(503) 642-4055,Arbor Creek Apartments,"3280 SW 170TH AVE, BEAVERTON, OR, 97003",Arbor Creek offers newly remodeled apartments in Beaverton near Washington Square Mall.
