Title,Address,Price,Beds,Phone
"Moment
650 Portland Ave S, Minneapolis, MN 55415","650 Portland Ave S, Minneapolis, MN 55415",No Price,No Bed Info,No Phone
"O2
250 Portland Ave, Minneapolis, MN 55401","250 Portland Ave, Minneapolis, MN 55401",No Price,No Bed Info,No Phone
"Aspire
5850 Central Ave, Westminster, CO 80031","5850 Central Ave, Westminster, CO 80031",No Price,No Bed Info,No Phone
"Ascent
8860 Westminster Blvd, Westminster, CO 80031","8860 Westminster Blvd, Westminster, CO 80031",No Price,No Bed Info,No Phone
"The Scenic
55 Livington Ave S, Saint Paul, MN 55107","55 Livington Ave S, Saint Paul, MN 55107",No Price,No Bed Info,No Phone
"The Meridian
425 SW 11th St, Des Moines, IA 50309","425 SW 11th St, Des Moines, IA 50309",No Price,No Bed Info,No Phone
"Groove Lofts
608 2nd Ave S, Minneapolis, MN 55402","608 2nd Ave S, Minneapolis, MN 55402",No Price,No Bed Info,No Phone
"Landmark Tower
345 Saint Peter St, Saint Paul, MN 55102","345 Saint Peter St, Saint Paul, MN 55102",No Price,No Bed Info,No Phone
"Slate  Age 55 Plus Active Community
400 SW 11th St, Des Moines, IA 50309","400 SW 11th St, Des Moines, IA 50309",No Price,No Bed Info,No Phone
"Encore
212 10th Ave S, Minneapolis, MN 55415","212 10th Ave S, Minneapolis, MN 55415",No Price,No Bed Info,No Phone
"The Vicinity
205 Park Ave, Minneapolis, MN 55415","205 Park Ave, Minneapolis, MN 55415",No Price,No Bed Info,No Phone
"Autumn Ridge Apartments
8500-8516 63rd Ave N, Minneapolis, MN 55428","8500-8516 63rd Ave N, Minneapolis, MN 55428",No Price,No Bed Info,No Phone
"Altair
6060 Main St NE, Fridley, MN 55432","6060 Main St NE, Fridley, MN 55432",No Price,No Bed Info,No Phone
"Lyra
3120-3140 Northdale Blvd, Coon Rapids, MN 55433","3120-3140 Northdale Blvd, Coon Rapids, MN 55433",No Price,No Bed Info,No Phone
"Aster
3130 Northdale Blvd, Coon Rapids, MN 55433","3130 Northdale Blvd, Coon Rapids, MN 55433",No Price,No Bed Info,No Phone
"Aura  Age 55 Plus Active Community
6000 Main St NE, Fridley, MN 55432","6000 Main St NE, Fridley, MN 55432",No Price,No Bed Info,No Phone
"Randolph Apartments
202 4th St, Des Moines, IA 50309","202 4th St, Des Moines, IA 50309",No Price,No Bed Info,No Phone
"The Roosevelt
200 1st Ave NE, Cedar Rapids, IA 52401","200 1st Ave NE, Cedar Rapids, IA 52401",No Price,No Bed Info,No Phone
"The Edge @ Grays Landing
406 SW 9th St, Des Moines, IA 50309","406 SW 9th St, Des Moines, IA 50309",No Price,No Bed Info,No Phone
"East End
240 Chicago Ave, Minneapolis, MN 55415","240 Chicago Ave, Minneapolis, MN 55415",No Price,No Bed Info,No Phone
"Vine Street Lofts
101 2nd Ave, Des Moines, IA 50309","101 2nd Ave, Des Moines, IA 50309",No Price,No Bed Info,No Phone
"Metro Lofts
100 2nd Ave, Des Moines, IA 50309","100 2nd Ave, Des Moines, IA 50309",No Price,No Bed Info,No Phone
"Fort Des Moines
6924 Chaffee Rd, Des Moines, IA 50315","6924 Chaffee Rd, Des Moines, IA 50315",No Price,No Bed Info,No Phone
"Lyon's Court Senior Apartments
510 Sibley St, Saint Paul, MN 55101","510 Sibley St, Saint Paul, MN 55101",No Price,No Bed Info,No Phone
"Stradford Flats
16 E 15th St, Minneapolis, MN 55403","16 E 15th St, Minneapolis, MN 55403",No Price,No Bed Info,No Phone
"West Side Flats
84 Wabasha St S, Saint Paul, MN 55107","84 Wabasha St S, Saint Paul, MN 55107",No Price,No Bed Info,No Phone
"Rumely Lofts
104 SW 4th St, Des Moines, IA 50309","104 SW 4th St, Des Moines, IA 50309",No Price,No Bed Info,No Phone
"Russell Lamson
209 W 5th St, Waterloo, IA 50701","209 W 5th St, Waterloo, IA 50701",No Price,No Bed Info,No Phone
"Harrison Lofts
1420 N Harrison St, Davenport, IA 52803","1420 N Harrison St, Davenport, IA 52803",No Price,No Bed Info,No Phone
"Ladder 260
260 Portland Ave, Minneapolis, MN 55415","260 Portland Ave, Minneapolis, MN 55415",No Price,No Bed Info,No Phone
"Grand Boulevard Lofts
1006 Grand Blvd, Kansas City, MO 64106","1006 Grand Blvd, Kansas City, MO 64106",No Price,No Bed Info,No Phone
"Paper Box Lofts
1560 W Pierce St, Milwaukee, WI 53204","1560 W Pierce St, Milwaukee, WI 53204",No Price,No Bed Info,No Phone
,No Address,No Price,No Bed Info,No Phone
,No Address,No Price,No Bed Info,No Phone
,No Address,No Price,No Bed Info,No Phone
