Title,Address,Price,Beds,Phone
"The Grand by Gehry
151 S Olive St, Los Angeles, CA 90012","151 S Olive St, Los Angeles, CA 90012",No Price,No Bed Info,No Phone
"Creekside 121
3620 Huffines Blvd, Carrollton, TX 75010","3620 Huffines Blvd, Carrollton, TX 75010",No Price,No Bed Info,No Phone
"The Laurel
635 Hibiscus St, West Palm Beach, FL 33401","635 Hibiscus St, West Palm Beach, FL 33401",No Price,No Bed Info,No Phone
"Timberlake Apartments
675 Jamestown Blvd, Altamonte Springs, FL 32714","675 Jamestown Blvd, Altamonte Springs, FL 32714",No Price,No Bed Info,No Phone
"Argyle House
1755 Argyle Ave, Los Angeles, CA 90028","1755 Argyle Ave, Los Angeles, CA 90028",No Price,No Bed Info,No Phone
"The Emerson
225 S Grand Ave, Los Angeles, CA 90012","225 S Grand Ave, Los Angeles, CA 90012",No Price,No Bed Info,No Phone
"Tompkins Terrace Apartments
194 Tompkins Ave, Beacon, NY 12508","194 Tompkins Ave, Beacon, NY 12508",No Price,No Bed Info,No Phone
"333 Holly
333 Holly Creek Ct, The Woodlands, TX 77381","333 Holly Creek Ct, The Woodlands, TX 77381",No Price,No Bed Info,No Phone
"One Bennett Park
514 N Peshtigo Ct, Chicago, IL 60611","514 N Peshtigo Ct, Chicago, IL 60611",No Price,No Bed Info,No Phone
"500 Lake Shore Drive
500 N Lake Shore Dr, Chicago, IL 60611","500 N Lake Shore Dr, Chicago, IL 60611",No Price,No Bed Info,No Phone
"Villas of Vista Ridge
351 State Highway 121 Byp, Lewisville, TX 75067","351 State Highway 121 Byp, Lewisville, TX 75067",No Price,No Bed Info,No Phone
"Dunwoody Glen
6750 Peachtree Industrial Blvd, Atlanta, GA 30360","6750 Peachtree Industrial Blvd, Atlanta, GA 30360",No Price,No Bed Info,No Phone
"Mason on Mariposa
1601 Mariposa St, San Francisco, CA 94107","1601 Mariposa St, San Francisco, CA 94107",No Price,No Bed Info,No Phone
"Fifteen Fifty
1550 Mission St, San Francisco, CA 94103","1550 Mission St, San Francisco, CA 94103",No Price,No Bed Info,No Phone
"Lake Shore Plaza
445 E Ohio St, Chicago, IL 60611","445 E Ohio St, Chicago, IL 60611",No Price,No Bed Info,No Phone
"The Row Fulton Market
164 N Peoria St, Chicago, IL 60607","164 N Peoria St, Chicago, IL 60607",No Price,No Bed Info,No Phone
"Townhomes of Coyote Ridge
4253 Hunt Dr, Carrollton, TX 75010","4253 Hunt Dr, Carrollton, TX 75010",No Price,No Bed Info,No Phone
"Townhomes of Bent Tree
17671 Addison Rd, Dallas, TX 75287","17671 Addison Rd, Dallas, TX 75287",No Price,No Bed Info,No Phone
"Avery 450
450 Folsom St, San Francisco, CA 94105","450 Folsom St, San Francisco, CA 94105",No Price,No Bed Info,No Phone
"Madison Square
2201 Rocky Lane Rd, Odessa, TX 79762","2201 Rocky Lane Rd, Odessa, TX 79762",No Price,No Bed Info,No Phone
"The Paramount
680 Mission St, San Francisco, CA 94105","680 Mission St, San Francisco, CA 94105",No Price,No Bed Info,No Phone
"Station Heights
100 Saratoga Dr, Alpharetta, GA 30022","100 Saratoga Dr, Alpharetta, GA 30022",No Price,No Bed Info,No Phone
"Heritage at Valley Ranch
9805 N MacArthur Blvd, Irving, TX 75063","9805 N MacArthur Blvd, Irving, TX 75063",No Price,No Bed Info,No Phone
"Signature Place
1907 Tarleton St, Midland, TX 79707","1907 Tarleton St, Midland, TX 79707",No Price,No Bed Info,No Phone
"Oak Glen of Edina
5515 Oak Glen Rd, Edina, MN 55439","5515 Oak Glen Rd, Edina, MN 55439",No Price,No Bed Info,No Phone
"Creekside at White Oak
10 Lakeside Way, Newnan, GA 30265","10 Lakeside Way, Newnan, GA 30265",No Price,No Bed Info,No Phone
"The Glades
651 Glades Cir, Altamonte Springs, FL 32714","651 Glades Cir, Altamonte Springs, FL 32714",No Price,No Bed Info,No Phone
