Title,Address,Price,Beds,Phone
"101 N Meridian
101 N Meridian Ave, Tampa, FL 33602","101 N Meridian Ave, Tampa, FL 33602",No Price,No Bed Info,No Phone
"2000 Post
2000 Post St, San Francisco, CA 94115","2000 Post St, San Francisco, CA 94115",No Price,No Bed Info,No Phone
"The MO
440 Penn St NE, Washington, DC 20002","440 Penn St NE, Washington, DC 20002",No Price,No Bed Info,No Phone
"Sullivan Place
5575 Vincent Gate Ter, Alexandria, VA 22312","5575 Vincent Gate Ter, Alexandria, VA 22312",No Price,No Bed Info,No Phone
"100 Pier 4
100 Pier 4 Blvd, Boston, MA 02210","100 Pier 4 Blvd, Boston, MA 02210",No Price,No Bed Info,No Phone
"HQ
1532 Harrison St, San Francisco, CA 94103","1532 Harrison St, San Francisco, CA 94103",No Price,No Bed Info,No Phone
"Delancey at Shirlington Village
4220 Campbell Ave, Arlington, VA 22206","4220 Campbell Ave, Arlington, VA 22206",No Price,No Bed Info,No Phone
"345 Harrison
345 Harrison Ave, Boston, MA 02118","345 Harrison Ave, Boston, MA 02118",No Price,No Bed Info,No Phone
"322 on North Broad
322-344 N Broad St, Philadelphia, PA 19102","322-344 N Broad St, Philadelphia, PA 19102",No Price,No Bed Info,No Phone
"The Courts at Huntington Station
5950 Grand Pavilion Way, Alexandria, VA 22303","5950 Grand Pavilion Way, Alexandria, VA 22303",No Price,No Bed Info,No Phone
"Waterside Towers
907 6th St SW, Washington, DC 20024","907 6th St SW, Washington, DC 20024",No Price,No Bed Info,No Phone
"1301 Thomas Circle
1301 M St NW, Washington, DC 20005","1301 M St NW, Washington, DC 20005",No Price,No Bed Info,No Phone
"View 14
2303 14th St NW, Washington, DC 20009","2303 14th St NW, Washington, DC 20009",No Price,No Bed Info,No Phone
"Residences at Lake Merritt
1940 Webster St, Oakland, CA 94612","1940 Webster St, Oakland, CA 94612",No Price,No Bed Info,No Phone
