Title,Address,Price,Beds,Phone
"Wynwood Plaza
55 NW 29th St, Miami, FL 33127","55 NW 29th St, Miami, FL 33127",No Price,No Bed Info,No Phone
"1900 Broadway
1950 Broadway, Oakland, CA 94612","1950 Broadway, Oakland, CA 94612",No Price,No Bed Info,No Phone
"Three Collective
5205 Leesburg Pike, Falls Church, VA 22041","5205 Leesburg Pike, Falls Church, VA 22041",No Price,No Bed Info,No Phone
"NOVEL 14th Street by Crescent Communities
2601 14th St NW, Washington, DC 20009","2601 14th St NW, Washington, DC 20009",No Price,No Bed Info,No Phone
"Oakville
451 Swann Ave, Alexandria, VA 22301","451 Swann Ave, Alexandria, VA 22301",No Price,No Bed Info,No Phone
"Stratos at Bridge District
600 Howard Rd SE, Washington, DC 20020","600 Howard Rd SE, Washington, DC 20020",No Price,No Bed Info,No Phone
"Cecil
8015 Old Georgetown Rd, Bethesda, MD 20814","8015 Old Georgetown Rd, Bethesda, MD 20814",No Price,No Bed Info,No Phone
"Reynard
1100 Dahlia St NW, Washington, DC 20012","1100 Dahlia St NW, Washington, DC 20012",No Price,No Bed Info,No Phone
"Junction Santa Monica
1641 Lincoln Blvd, Santa Monica, CA 90404","1641 Lincoln Blvd, Santa Monica, CA 90404",No Price,No Bed Info,No Phone
"Evani 3223 Wilshire
3223 Wilshire Blvd, Santa Monica, CA 90403","3223 Wilshire Blvd, Santa Monica, CA 90403",No Price,No Bed Info,No Phone
"Ashbridge Exton
109 Commerce Dr, Exton, PA 19341","109 Commerce Dr, Exton, PA 19341",No Price,No Bed Info,No Phone
"The Lafayette
2333 Calle del Mundo, Santa Clara, CA 95054","2333 Calle del Mundo, Santa Clara, CA 95054",No Price,No Bed Info,No Phone
"Emblem 120
120 Commerce Way, Woburn, MA 01801","120 Commerce Way, Woburn, MA 01801",No Price,No Bed Info,No Phone
"The Park
417 Raritan Rd, Roselle, NJ 07203","417 Raritan Rd, Roselle, NJ 07203",No Price,No Bed Info,No Phone
"The Crossing at Palm Aire
4665 Whitfield Ave, Sarasota, FL 34243","4665 Whitfield Ave, Sarasota, FL 34243",No Price,No Bed Info,No Phone
"EDGE Apartments
100 Avenue G, Bayonne, NJ 07002","100 Avenue G, Bayonne, NJ 07002",No Price,No Bed Info,No Phone
"Alula at Bridge District
650 Howard Rd SE, Washington, DC 20020","650 Howard Rd SE, Washington, DC 20020",No Price,No Bed Info,No Phone
"Two Clinton Park
50 Clinton Pl, New Rochelle, NY 10801","50 Clinton Pl, New Rochelle, NY 10801",No Price,No Bed Info,No Phone
"Arden Englewood
3595 S Jason St, Englewood, CO 80110","3595 S Jason St, Englewood, CO 80110",No Price,No Bed Info,No Phone
"Park Fifth
427 W 5th St, Los Angeles, CA 90013","427 W 5th St, Los Angeles, CA 90013",No Price,No Bed Info,No Phone
"Cast Iron Lofts
300 Coles St, Jersey City, NJ 07310","300 Coles St, Jersey City, NJ 07310",No Price,No Bed Info,No Phone
"Broad + Noble
435 N Broad St, Philadelphia, PA 19123","435 N Broad St, Philadelphia, PA 19123",No Price,No Bed Info,No Phone
"Ezelle
900 Laura Oaks Blvd, Kissimmee, FL 34747","900 Laura Oaks Blvd, Kissimmee, FL 34747",No Price,No Bed Info,No Phone
"Left Bank
300 N Canal St, Chicago, IL 60606","300 N Canal St, Chicago, IL 60606",No Price,No Bed Info,No Phone
"The Harlo
1350 Boylston St, Boston, MA 02215","1350 Boylston St, Boston, MA 02215",No Price,No Bed Info,No Phone
"Joule House
2200 NW 1st Ave, Miami, FL 33127","2200 NW 1st Ave, Miami, FL 33127",No Price,No Bed Info,No Phone
"465 North Park
465 N Park Dr, Chicago, IL 60611","465 N Park Dr, Chicago, IL 60611",No Price,No Bed Info,No Phone
"Sedona|Slate
1510 Clarendon Blvd, Arlington, VA 22209","1510 Clarendon Blvd, Arlington, VA 22209",No Price,No Bed Info,No Phone
"727 West Madison
727 W Madison St, Chicago, IL 60661","727 W Madison St, Chicago, IL 60661",No Price,No Bed Info,No Phone
"Neuhoff Residences
1315 Adams St, Nashville, TN 37208","1315 Adams St, Nashville, TN 37208",No Price,No Bed Info,No Phone
"Alder at Allston Yards
301 Guest St, Allston, MA 02134","301 Guest St, Allston, MA 02134",No Price,No Bed Info,No Phone
"Luminary at One Light
100 E Redwood St, Baltimore, MD 21202","100 E Redwood St, Baltimore, MD 21202",No Price,No Bed Info,No Phone
"Notion
125 N Arcadia Ave, Decatur, GA 30030","125 N Arcadia Ave, Decatur, GA 30030",No Price,No Bed Info,No Phone
"Trademark
437 S Hill St, Los Angeles, CA 90012","437 S Hill St, Los Angeles, CA 90012",No Price,No Bed Info,No Phone
"Parc Riverside
1011 1st St SE, Washington, DC 20003","1011 1st St SE, Washington, DC 20003",No Price,No Bed Info,No Phone
"Spinnaker Bay at Harbor East
707-717 President St, Baltimore, MD 21202","707-717 President St, Baltimore, MD 21202",No Price,No Bed Info,No Phone
"The Clark
3400 S Clark St, Arlington, VA 22202","3400 S Clark St, Arlington, VA 22202",No Price,No Bed Info,No Phone
"The Silva
1630 Columbia Rd NW, Washington, DC 20009","1630 Columbia Rd NW, Washington, DC 20009",No Price,No Bed Info,No Phone
"The Bradford
525 Common St, Belmont, MA 02478","525 Common St, Belmont, MA 02478",No Price,No Bed Info,No Phone
"Hanover Tysons
1500 Westbranch Dr, McLean, VA 22102","1500 Westbranch Dr, McLean, VA 22102",No Price,No Bed Info,No Phone
"Emmi Midtown
1405 Spring St, Atlanta, GA 30309","1405 Spring St, Atlanta, GA 30309",No Price,No Bed Info,No Phone
"Atwood
728 Broadway, Saugus, MA 01906","728 Broadway, Saugus, MA 01906",No Price,No Bed Info,No Phone
"Linea
2161 Hawkins St, Charlotte, NC 28203","2161 Hawkins St, Charlotte, NC 28203",No Price,No Bed Info,No Phone
"Winthrop
913 Southerly Rd, Towson, MD 21204","913 Southerly Rd, Towson, MD 21204",No Price,No Bed Info,No Phone
"City Ridge
20 Ridge Square NW, Washington, DC 20016","20 Ridge Square NW, Washington, DC 20016",No Price,No Bed Info,No Phone
"Maison Green
4917 Eden Ave, Edina, MN 55424","4917 Eden Ave, Edina, MN 55424",No Price,No Bed Info,No Phone
"Haden
1575 Anderson Rd, McLean, VA 22102","1575 Anderson Rd, McLean, VA 22102",No Price,No Bed Info,No Phone
"Anara Santa Monica
2200 Colorado Ave, Santa Monica, CA 90404","2200 Colorado Ave, Santa Monica, CA 90404",No Price,No Bed Info,No Phone
"The Alexander Apartments
4390 King St, Alexandria, VA 22302","4390 King St, Alexandria, VA 22302",No Price,No Bed Info,No Phone
"Oro Ballantyne
14020 Stream Way, Charlotte, NC 28277","14020 Stream Way, Charlotte, NC 28277",No Price,No Bed Info,No Phone
"Atwell on Spring
1260 Spring St, Silver Spring, MD 20910","1260 Spring St, Silver Spring, MD 20910",No Price,No Bed Info,No Phone
"Cameron Square
5555 Cardinal Pl, Alexandria, VA 22304","5555 Cardinal Pl, Alexandria, VA 22304",No Price,No Bed Info,No Phone
"The 202
202 Florida Ave NE, Washington, DC 20002","202 Florida Ave NE, Washington, DC 20002",No Price,No Bed Info,No Phone
"Venture on I
60 I St SW, Washington, DC 20024","60 I St SW, Washington, DC 20024",No Price,No Bed Info,No Phone
"The Burton
200 Florida Ave NE, Washington, DC 20002","200 Florida Ave NE, Washington, DC 20002",No Price,No Bed Info,No Phone
"The Ellington
1301 U St NW, Washington, DC 20009","1301 U St NW, Washington, DC 20009",No Price,No Bed Info,No Phone
"The Alcott
1221 N Pierce St, Arlington, VA 22209","1221 N Pierce St, Arlington, VA 22209",No Price,No Bed Info,No Phone
"Station House
701 2nd St NE, Washington, DC 20002","701 2nd St NE, Washington, DC 20002",No Price,No Bed Info,No Phone
"Verdosa
705 W 9th St, Los Angeles, CA 90015","705 W 9th St, Los Angeles, CA 90015",No Price,No Bed Info,No Phone
"Senate Square
201 I St NE, Washington, DC 20002","201 I St NE, Washington, DC 20002",No Price,No Bed Info,No Phone
"The Westerly
350 Maple Dr SW, Washington, DC 20024","350 Maple Dr SW, Washington, DC 20024",No Price,No Bed Info,No Phone
"Momentum Midtown
1018 W Peachtree St, Atlanta, GA 30309","1018 W Peachtree St, Atlanta, GA 30309",No Price,No Bed Info,No Phone
"Steelworks
1220 Mecaslin St NW, Atlanta, GA 30318","1220 Mecaslin St NW, Atlanta, GA 30318",No Price,No Bed Info,No Phone
"Catherine Santa Monica
1625 Lincoln Blvd, Santa Monica, CA 90404","1625 Lincoln Blvd, Santa Monica, CA 90404",No Price,No Bed Info,No Phone
"The Hadley
770 Juniper St NE, Atlanta, GA 30308","770 Juniper St NE, Atlanta, GA 30308",No Price,No Bed Info,No Phone
"333 North Broad
333 N Broad St, Doylestown, PA 18901","333 N Broad St, Doylestown, PA 18901",No Price,No Bed Info,No Phone
"Arcadia Run
11775 Boltonia Dr, Manassas, VA 20109","11775 Boltonia Dr, Manassas, VA 20109",No Price,No Bed Info,No Phone
