propertyName,priceRent,fullAddress,addressLine1,city,state,zip,longitude,latitude
Central Alabama: Home to Bustling Birmingham,1162.0,"1 Stonecrest Drive Birmingham, AL",1 Stonecrest Drive,Birmingham,AL,35242,-86.66016379999999,33.4072365
Find an Apartment in Mobile near Beautiful Beaches and More,1145.0,"6190 Girby Rd Mobile, AL",6190 Girby Rd,Mobile,AL,36693,-88.18449059999999,30.6190681
The Watts,946.0,"3700 Governors Dr NW Huntsville, AL",3700 Governors Dr NW,Huntsville,AL,35805,-86.6169073,34.7210256
,1655.0,"7998 St James Drive Clay, AL",7998 St James Drive,Clay,AL,35126,-86.55766400000002,33.7352
,,"4804 Prt Washington Ln Orange Beach, AL",4804 Prt Washington Ln Orange,Beach,AL,36561,-87.5660982,30.2952272
"Apartments in Phoenix, AZ",1054.0,"9680 W Northern Avenue Peoria, AZ",9680 W Northern Avenue,Peoria,AZ,85345,-112.2675348,33.5539563
,1553.0,"6745 E Superstition Springs Blvd Mesa, AZ",6745 E Superstition Springs Blvd,Mesa,AZ,85206,-111.6879611,33.3842452
"Retreat to Goodyear, AZ",1411.0,"2100 North 145th Avenue Goodyear, AZ",2100 North 145th Avenue,Goodyear,AZ,85395,-112.372482,33.4698685
Colorado Springs Apartments With Stunning Views,960.0,"3310 Knoll Lane Colorado Springs, CO",3310 Knoll Lane Colorado,Springs,CO,80917,-104.7615171,38.8818961
,1556.0,"700 W 91st Ave Thornton, CO",700 W 91st Ave,Thornton,CO,80260,-104.9946883,39.8601797
,1569.0,"9375 Station Street Lone Tree, CO",9375 Station Street Lone,Tree,CO,80124,-104.8712202,39.5460692
,1595.0,"601 Merlin Dr. Lafayette, CO",601 Merlin Dr.,Lafayette,CO,80026,-105.0853379,39.9876155
,1648.0,"355 Burgundy Street Highlands Ranch, CO",355 Burgundy Street Highlands,Ranch,CO,80129,-104.9951814,39.5448198
"Apartments in Littleton, Colorado",1260.0,"10200 Park Meadows Drive Littleton, CO",10200 Park Meadows Drive,Littleton,CO,80124,-104.8750646,39.5491387
Lakewood Apartments for Rent,1442.0,"7410 W Warren Cir Lakewood, CO",7410 W Warren Cir,Lakewood,CO,80227,-105.0789361,39.6782366
"Apartments for Rent in Boulder, Colorado",1595.0,"601 Merlin Dr. Lafayette, CO",601 Merlin Dr.,Lafayette,CO,80026,-105.0853379,39.9876155
"Idyllic Apartments for Rent in Aurora, Colorado",1293.0,"13711 E Richthofen Cir Aurora, CO",13711 E Richthofen Cir,Aurora,CO,80011,-104.8275999,39.735848
,1528.0,"4875 DTC Blvd. Denver, CO",4875 DTC Blvd.,Denver,CO,80237,-104.8922707,39.6297294
,,"116 Danbury Road Wilton, CT",116 Danbury Road,Wilton,CT,06897,-73.4151857,41.1766829
,,"10 Willard Road Norwalk, CT",10 Willard Road,Norwalk,CT,06851,-73.3896925,41.128803
"Stamford, CT Apartments Near Manhattan",,"116 Danbury Road Wilton, CT",116 Danbury Road,Wilton,CT,06897,-73.4151857,41.1766829
"As a resident of our community in Newark, you’ll enjoy the best of city living without losing that small-town charm. Home to the University of Delaware, Newark has something to offer everyone, whether you’re a lover of the outdoors, shopping, dining, or cultural attractions.",,,,,,,,,
,1895.0,"7000 Tides Circle Sarasota, FL",7000 Tides Circle,Sarasota,FL,34240,-82.4276993,27.3586351
Resident Life in Longwood,1440.0,"525 Sabal Lake Drive  Longwood, FL",525 Sabal Lake Drive,Longwood,FL,32779,-81.4130895,28.701411
"Experience Living in Brandon, FL",1328.0,"1919 Sterling Palms Ct  Brandon, FL",1919 Sterling Palms Ct,Brandon,FL,33511,-82.32062719999999,27.9082428
"Rental Communities in Maitland, FL",2195.0,"100 Boucle Jeanne Circle  Maitland, FL",100 Boucle Jeanne Circle,Maitland,FL,32751,-81.3682169,28.6157922
,,"2211 Amble Way Land O' Lakes, FL",2211 Amble Way Land O',Lakes,FL,34639,-82.41380559999999,28.187021
,,"812 S. Park Rd Hollywood, FL",812 S. Park Rd,Hollywood,FL,33021,-80.1768981,26.0045028
Living in Aventura,2282.0,"20080 West Dixie Hwy. Miami, FL",20080 West Dixie Hwy.,Miami,FL,33180,-80.1478301,25.9604193
Premier Apartments for Rent in Orlando,1751.0,"400 North Orlando Ave. Maitland, FL",400 North Orlando Ave.,Maitland,FL,32751,-81.362155,28.6295092
Picture Your Life in Tamarac,2416.0,"8171 N University Dr Tamarac, FL",8171 N University Dr,Tamarac,FL,33321,-80.25373809999999,26.2227125
Find a Charming Community in Coral Springs,1795.0,"1599 Northwest 91st Ave Coral Springs, FL",1599 Northwest 91st Ave Coral,Springs,FL,33071,-80.24533129999999,26.2502289
Premium Apartments for Rent in Doral,1435.0,"5611 NW 112th Avenue Doral, FL",5611 NW 112th Avenue,Doral,FL,33178,-80.3761294,25.8256656
Luxury Apartments for Rent in Miami,2100.0,"10445 Corkscrew Commons Drive Estero, FL",10445 Corkscrew Commons Drive,Estero,FL,33928,-81.78019739999999,26.4331765
,1424.0,"1697 Nantucket Ct Palm Harbor, FL",1697 Nantucket Ct Palm,Harbor,FL,34683,-82.7649455,28.0538465
Love Where You Live in Wellington,2306.0,"711 Forest Club Drive Wellington, FL",711 Forest Club Drive,Wellington,FL,33414,-80.2517757,26.6709685
,,"555 Fishing Lure Drive Avon Park, FL",555 Fishing Lure Drive Avon,Park,FL,33825,-81.5099066,27.5779477
Enjoy Lakeside Living in Auburndale,,"935 Groves Blvd. Auburndale, FL",935 Groves Blvd.,Auburndale,FL,33823,-81.80354770000001,28.1480341
"Resident Life in Fort Myers, Florida",1452.0,"4400 Cortina Circle Ft. Myers, FL",4400 Cortina Circle Ft.,Myers,FL,33916,-81.843952,26.6015246
Find Your Ultimate Urban Oasis in Jacksonville Apartments,,"14151 Wind Row Drive Jacksonville, FL",14151 Wind Row Drive,Jacksonville,FL,32221,-81.8673489,30.2386903
,2063.0,"12700 66th St N Largo, FL",12700 66th St N,Largo,FL,33773,-82.7301296,27.8885472
,,"101 Mirano Way Nokomis, FL",101 Mirano Way,Nokomis,FL,34275,-82.4442629,27.1192213
,1415.0,"380 Burbank Ave Ponte Vedra Beach, FL",380 Burbank Ave Ponte Vedra,Beach,FL,32081,-81.4466956,30.1074748
Unrivalled Convenience in Carrollwood,,"5412 Deerbrooke Creek Circle Tampa, FL",5412 Deerbrooke Creek Circle,Tampa,FL,33624,-82.5372659,28.0605022
,1700.0,"31434 Spruce Crk Cir Wesley Chapel, FL",31434 Spruce Crk Cir Wesley,Chapel,FL,33543,-82.297243,28.227561
Enjoy Elevated Living  in Plantation,1950.0,"7350 NW 4th St. Plantation, FL",7350 NW 4th St.,Plantation,FL,33317,-80.2467688,26.125752
Enjoy Carefree Living at our Apartments in Westshore,1617.0,"4400 West Spruce Street Tampa, FL",4400 West Spruce Street,Tampa,FL,33607,-82.5187869,27.9590043
Apartments for Rent in West Palm Beach,,"3111 So Dixie Hwy West Palm Beach, FL",3111 So Dixie Hwy West Palm,Beach,FL,33405,-80.0552386,26.6852807
Vibrant Apartments for Rent in Tampa,,"11500 N. Dale Mabry Hwy Tampa, FL",11500 N. Dale Mabry Hwy,Tampa,FL,33618,-82.5054567,28.0544978
,1330.0,"5115 Spanish Hbr Dr Wildwood, FL",5115 Spanish Hbr Dr,Wildwood,FL,34785,-82.01870319999999,28.8684369
"Discover Our Apartments in Ft. Lauderdale, FL",2400.0,"673 NE 3rd  Fort Lauderdale, FL",673 NE 3rd Fort,Lauderdale,FL,33301,-80.136642,26.1252889
Coastal Living in Delray Beach,1797.0,"15005 Michaelango Blvd Delray Beach, FL",15005 Michaelango Blvd Delray,Beach,FL,33446,-80.15792929999999,26.452053
,1350.0,"998 SE 3rd Avenue Ocala, FL",998 SE 3rd Avenue,Ocala,FL,34471,-82.1342415,29.1787636
"Coastal Living in Port St. Lucie, FL",2590.0,"10241 SW Newberry Ave Port St. Lucie, FL",10241 SW Newberry Ave Port St.,Lucie,FL,34987,-80.4378074,27.2785437
Coastal Living in Pensacola,1251.0,"8511 Myslak Way Pensacola, FL",8511 Myslak Way,Pensacola,FL,32526,-87.3461423,30.5328462
Experience Living in Daytona Beach,,,,,,,,,
Picture Yourself in Sarasota/Bradenton Area,,,,,,,,,
Experience Lakeland Living,1619.0,"1510 Big Oaks Drive Lakeland, FL",1510 Big Oaks Drive,Lakeland,FL,33810,-81.9777275,28.0990101
Become a Resident in Pembroke Pines,,"250 NW 130th Ave Pembroke Pines, FL",250 NW 130th Ave Pembroke,Pines,FL,33028,-80.32235519999999,26.0090963
Discover the Way of Life in Miramar Florida,2323.0,"11000 Miramar Parkway Miramar, FL",11000 Miramar Parkway,Miramar,FL,33025,-80.2921925,25.9791431
Live and Play Well at Town ‘N’ Country,,"8210 Solano Bay Loop Tampa, FL",8210 Solano Bay Loop,Tampa,FL,33635,-82.6404374,28.0286874
Discover the Magic of The Florida Keys,,,,,,,,,
,,"3040 W. Bay Circle Kissimmee, FL",3040 W. Bay Circle,Kissimmee,FL,,-81.40393139999999,28.2955867
,,"1230 Front Place North Port, FL",1230 Front Place North,Port,FL,34287,-82.207889,27.065865
Find Your Next Home in Hialeah,1400.0,"6200 NW 173rd Street Hialeah, FL",6200 NW 173rd Street,Hialeah,FL,33015,-80.302159,25.9301862
,1500.0,"2500 Conserve Circle, Apopka, FL 32703 Apopka, FL","2500 Conserve Circle, Apopka, FL 32703",Apopka,FL,32703,-81.55438099999999,28.675121
,,"1130 Upper Manatee River Rd Bradenton, FL",1130 Upper Manatee River Rd,Bradenton,FL,34212,-82.4347459,27.4883598
Apartments for Rent in Apollo Beach,,,,,,,,,
Living in Brevard County,1024.0,"1635 Monterey Dr NE Palm Bay, FL",1635 Monterey Dr NE Palm,Bay,FL,32905,-80.6185153,28.036737
"The Best Apartments in Gainesville, Florida",1640.0,"5900 SW 76th Court Gainesville, FL",5900 SW 76th Court,Gainesville,FL,32608,-82.4248283,29.5998794
,3500.0,"1001 NE 58th Street Oakland Park, FL",1001 NE 58th Street Oakland,Park,FL,33334,-80.13370139999999,26.1991882
Experience Resident Life at Boynton Beach,1852.0,"1605 Renaissance Commons Blvd N. Boyton Beach, FL",1605 Renaissance Commons Blvd N. Boyton,Beach,FL,33426,-80.0887209,26.5430539
Laid Back Living in Lauderhill,2259.0,"419 SE 2nd Street Ft Lauderdale, FL",419 SE 2nd Street Ft,Lauderdale,FL,33301,-80.1390857,26.121386
Luxury Apartments in Boca Raton,2281.0,"6503 N Military Trail Boca Raton, FL",6503 N Military Trail Boca,Raton,FL,33496,-80.1221437,26.4066171
Discover our Venice Apartments for rent in Florida,1727.0,"3615 Schoolhouse Road W Fort Myers, FL",3615 Schoolhouse Road W Fort,Myers,FL,33916,-81.845289,26.6054583
Country Charm in a Lawrenceville Apartment,,"1649 Braselton Hwy Lawrenceville, GA",1649 Braselton Hwy,Lawrenceville,GA,30043,-83.956717,34.027102
,,"2419 Derrick Drive Grayson, GA",2419 Derrick Drive,Grayson,GA,30017,-83.9896844,33.8877299
Midtown Apartments,1645.0,"915 W Peachtree St NW Atlanta, GA",915 W Peachtree St NW,Atlanta,GA,30309,-84.3868116,33.779742
,1999.0,"105 Creekside Boulevard Guyton, GA",105 Creekside Boulevard,Guyton,GA,31312,-81.269353,32.1945645
,1439.0,"7001 Clementine Trail Fairburn, GA",7001 Clementine Trail,Fairburn,GA,30066,-84.49205909999999,34.0362823
,,"445 Carl Bethlehem Road Winder, GA",445 Carl Bethlehem Road,Winder,GA,30620,-83.74920949999999,33.9392442
,,"2350 Windward Lane Gainesville, GA",2350 Windward Lane,Gainesville,GA,30501,-83.80016640000001,34.3265129
Unique Sandy Springs Apartments,1499.0,"6919 Peachtree Dunwoody Rd Sandy Springs, GA",6919 Peachtree Dunwoody Rd Sandy,Springs,GA,30328,-84.3527266,33.9458323
"Discover our Communities in Hoschton, GA",1460.0,"1010 Rosefinch Landing Hoschton, GA",1010 Rosefinch Landing,Hoschton,GA,30548,-83.86695979999999,34.1066832
"Apartments For Rent in Buckhead, GA",1281.0,"235 Pharr Rd NE Atlanta, GA",235 Pharr Rd NE,Atlanta,GA,30305,-84.3799312,33.8362357
,,"100 Agee Ln McDonough, GA",100 Agee Ln,McDonough,GA,30253,-84.1419732,33.4653973
,1285.0,"1780 Graves Rd Norcross, GA",1780 Graves Rd,Norcross,GA,30093,-84.2243273,33.9035206
"View some of our most popular communities, start by selecting an area below:",,,,,,,,,
Discover our Apartments in Loganville,,"100 Chase Landing Drive Loganville, GA",100 Chase Landing Drive,Loganville,GA,30052,-83.9023801,33.850914
,1382.0,"680 Park Bridge Pkwy Alpharetta , GA",680 Park Bridge Pkwy Alpharetta,,GA,30005,-84.240269,34.0646657
"Come Home to Our Community in Conyers, GA",,"2021 Old Covington Highway SE Conyers, GA",2021 Old Covington Highway SE,Conyers,GA,30013,-83.98119059999999,33.6411447
,1825.0,"40 Cottage Drive Ringgold, GA",40 Cottage Drive,Ringgold,GA,,-85.1091173,34.9159099
,1850.0,"1801 Hamilton Rd Lagrange, GA",1801 Hamilton Rd,Lagrange,GA,30241,-85.012596,33.006582
Southern Charm in our Savannah Apartments,1999.0,"2 Venice Place Pooler, GA",2 Venice Place,Pooler,GA,31322,-81.2443938,32.1274875
,,"10 American Ave Newnan, GA",10 American Ave,Newnan,GA,30263,-84.7829886,33.390658
,1000.0,"59 Anderson Ave Canton, GA",59 Anderson Ave,Canton,GA,30114,-84.49616639999999,34.2412538
,,"3251 Cross Road Buford, GA",3251 Cross Road,Buford,GA,30519,-83.97489499999999,34.07424
"Retreat to Villa Rica, GA",,"211 Cypress Lane Villa Rica, GA",211 Cypress Lane Villa,Rica,GA,30180,-84.9434371,33.716759
"Retreat to Covington, GA",,,,,,,,,
"Discover our Barnesville, GA Communities",1810.0,"516 College Drive Barnesville, GA",516 College Drive,Barnesville,GA,30204,-84.1535735,33.0411994
Apartments in Atlanta,1430.0,"1659 Monroe Drive Atlanta, GA",1659 Monroe Drive,Atlanta,GA,30324,-84.3690239,33.7988351
,,"2300 Paris Road Dallas, GA",2300 Paris Road,Dallas,GA,30157,-84.79573099999999,33.898425
,2195.0,"375 Southport Parkway Brunswick, GA",375 Southport Parkway,Brunswick,GA,31523,-81.58342789999999,31.1307558
Small-Town Living at our Jefferson Apartment Communities,,"575 Concord Rd Jefferson, GA",575 Concord Rd,Jefferson,GA,30549,-83.64640899999999,34.1576943
"Apartments in Dacula, GA",,"1852 Auburn Road Dacula, GA",1852 Auburn Road,Dacula,GA,30019,-83.9232935,34.047413
,,"5023 Woodland Hls Powder Springs, GA",5023 Woodland Hls Powder,Springs,GA,30127,-84.7007235,33.8545301
,1241.0,"2080 Benton Blvd Pooler, GA",2080 Benton Blvd,Pooler,GA,31407,-81.23236349999999,32.1712164
"Discover the Historic Charm of Cartersville, GA",,"111 Lipscomb Circle SE  Cartersville, GA",111 Lipscomb Circle SE,Cartersville,GA,30121,-84.8081242,34.2051998
,,"750 Avondale Creek Drive Decatur, GA",750 Avondale Creek Drive,Decatur,GA,30032,-84.25257529999999,33.7750724
"Welcome to Acworth, GA",1398.0,"1000 Etowah Ferry Drive Acworth, GA",1000 Etowah Ferry Drive,Acworth,GA,30102,-84.5817752,34.0993816
,2280.0,"1000 S Michigan Ave Chicago, IL",1000 S Michigan Ave,Chicago,IL,60605,-87.62469809999999,41.869828
Start Your Next Chapter at Lincoln in Oak Park,1819.0,"1133 South Boulevard Oak Park, IL",1133 South Boulevard Oak,Park,IL,60302,-87.80460699999999,41.8865832
Enjoy Endless Possibilities at our Apartments in Chicago,2270.0,"833 N Clark St Chicago , IL",833 N Clark St Chicago,,IL,60610,-87.63089509999999,41.89742529999999
"Retreat to Bolingbrook, IL",1713.0,"350 Whitewater Drive Bolingbrook, IL",350 Whitewater Drive,Bolingbrook,IL,60440,-88.09518539999999,41.7075776
Arlington Heights Apartments,1996.0,"1551 E Central Road Arlington Heights, IL",1551 E Central Road Arlington,Heights,IL,60005,-87.964415,42.0660641
Envision Your Future at an Evanston Apartment,1884.0,"8000 Lincoln Avenue Skokie, IL",8000 Lincoln Avenue,Skokie,IL,60077,-87.7550602,42.026523
,,"103 Oak Leaf Ln Vernon Hills, IL",103 Oak Leaf Ln Vernon,Hills,IL,60061,-87.9470743,42.21065369999999
Idyllic Apartments for Rent in Aurora,,"3055 Riverbirch Dr Aurora, IL",3055 Riverbirch Dr,Aurora,IL,60502,-88.2776303,41.8182377
Find The Perfect Balance in Woodridge,1180.0,"6690 Double Eagle Drive Woodridge, IL",6690 Double Eagle Drive,Woodridge,IL,60517,-88.07115329999999,41.7636256
"Apartments in Beautiful Naperville, Illinois",,"803 Corday Dr Naperville, IL",803 Corday Dr,Naperville,IL,60540,-88.1882887,41.7575355
"Welcome to Noblesville, IN",,,,,,,,,
,1116.0,"1854 Century Way Indianapolis, IN",1854 Century Way,Indianapolis,IN,46260,-86.1897968,39.90407099999999
,1245.0,"4101 Herb Lewis Rd Jeffersonville, IN",4101 Herb Lewis Rd,Jeffersonville,IN,47130,-85.70091339999999,38.3374604
Your Destination for Relaxed Living,,,,,,,,,
"Discover Our Apartment Communities in Carmel, IN",1625.0,"525 North End Drive Carmel, IN",525 North End Drive,Carmel,IN,46032,-86.13602949999999,39.9864271
Luxury Apartments in Johnson County,1605.0,"1525 Birdie Way Lawrence, KS",1525 Birdie Way,Lawrence,KS,66047,-95.29285829999999,38.9542848
Explore Louisville,1373.0,"200 W Liberty St Louisville, KY",200 W Liberty St,Louisville,KY,40202,-85.75447679999999,38.2516193
"Live on the Pulse of New Orleans, LA",,"808 Constance Street New Orleans, LA",808 Constance Street New,Orleans,LA,70130,-90.06833290000002,29.9448552
Discover Our Communities in Lafayette,880.0,"2314 Kaliste Saloom Rd Lafayette, LA",2314 Kaliste Saloom Rd,Lafayette,LA,70508,-92.0439257,30.161456
