Title,Address,Price,Beds,Phone
"NOVEL Daybreak by Crescent Communities
10678 Lake Run Rd, South Jordan, UT 84009","10678 Lake Run Rd, South Jordan, UT 84009",No Price,No Bed Info,No Phone
"Whisper Valley at Quartier
12899 Village Run Pky, Alexander, AR 72002","12899 Village Run Pky, Alexander, AR 72002",No Price,No Bed Info,No Phone
"The 305, A Broadstone Community
305 Winter St, Waltham, MA 02451","305 Winter St, Waltham, MA 02451",No Price,No Bed Info,No Phone
"Encanto at Mesa Del Sol
2500 Bobby Foster Rd SE, Albuquerque, NM 87106","2500 Bobby Foster Rd SE, Albuquerque, NM 87106",No Price,No Bed Info,No Phone
"Prose Columbus
6700 River Rd, Columbus, GA 31904","6700 River Rd, Columbus, GA 31904",No Price,No Bed Info,No Phone
"The Gabriel
1542 Balch Rd, Madison, AL 35757","1542 Balch Rd, Madison, AL 35757",No Price,No Bed Info,No Phone
"The Villas on Turtle Creek
201 S 34th St, Rogers, AR 72756","201 S 34th St, Rogers, AR 72756",No Price,No Bed Info,No Phone
"The Beverly
7395 E Legacy Blvd, Scottsdale, AZ 85255","7395 E Legacy Blvd, Scottsdale, AZ 85255",No Price,No Bed Info,No Phone
"Maxwell at Bascom
1350 S Bascom Ave, San Jose, CA 95128","1350 S Bascom Ave, San Jose, CA 95128",No Price,No Bed Info,No Phone
"Cardinal 95
9600 W Georgia Ave, Glendale, AZ 85305","9600 W Georgia Ave, Glendale, AZ 85305",No Price,No Bed Info,No Phone
"Navona
10141 E Williams Field Rd, Mesa, AZ 85212","10141 E Williams Field Rd, Mesa, AZ 85212",No Price,No Bed Info,No Phone
"FLATZ 520
45760 W Village Pky, Maricopa, AZ 85139","45760 W Village Pky, Maricopa, AZ 85139",No Price,No Bed Info,No Phone
"Vue at the Ridge
2300 The Reserve Circle, Apopka, FL 32703","2300 The Reserve Circle, Apopka, FL 32703",No Price,No Bed Info,No Phone
"Prose Ascend
12905 W Indian School Rd, Avondale, AZ 85392","12905 W Indian School Rd, Avondale, AZ 85392",No Price,No Bed Info,No Phone
"Roosevelt Point
888 N 4th St, Phoenix, AZ 85004","888 N 4th St, Phoenix, AZ 85004",No Price,No Bed Info,No Phone
"NOVEL Val Vista by Crescent Communities
1727 E Pecos Rd, Gilbert, AZ 85295","1727 E Pecos Rd, Gilbert, AZ 85295",No Price,No Bed Info,No Phone
"Broadstone Inkwell
201 The Promenade N, Long Beach, CA 90802","201 The Promenade N, Long Beach, CA 90802",No Price,No Bed Info,No Phone
"Turquesa
4700 Wagon Rd, Santa Fe, NM 87507","4700 Wagon Rd, Santa Fe, NM 87507",No Price,No Bed Info,No Phone
