company_name,building_name,raw_address,phone,price_low,price_high,beds,baths,sqft_low,sqft_high
JBG Smith Living,The Grace and Reva,"269 19th Ct. S, Arlington, VA 22202",(855) 613-1832,"2,105.00","12,500.00",Studio-3 Beds,1-2.5 Baths,457,"1,614"
JBG Smith Living,The Zoe and Valen,"2051 South Bell St., Arlington, VA 22202",(571) 560-7601,"1,870.00","6,750.00",Studio-3 Beds,1-2.5 Baths,428,"1,416"
JBG Smith Living,1221 Van,"1221 Van St. SE, Washington, DC 20003",(833) 763-4317,"1,680.00","5,364.00",Studio-3 Beds,1-3 Baths,409,"1,640"
JBG Smith Living,13|U,"1310 U St. NW, Washington, DC 20009",(833) 224-4857,"2,990.00","5,025.00",1-2 Beds,1-2.5 Baths,719,"2,009"
JBG Smith Living,220 Twentieth Street,"220 Twentieth St., Arlington, VA 22202",(833) 248-3875,"2,265.00","5,984.00",Studio-2 Beds,1-2 Baths,568,"1,590"
JBG Smith Living,8001 Woodmont,"8001 Woodmont Ave., Bethesda, MD 20814",(833) 845-4600,"2,660.00","8,431.00",1-3 Beds,1-3.5 Baths,723,"2,100"
JBG Smith Living,901W,"901 W St. NW, Washington, DC 20001",(833) 223-8497,"2,420.00","3,011.00",1-4 Beds,1-4 Baths,595,"2,210"
JBG Smith Living,Atlantic Plumbing,"2112 8th St. NW, Washington, DC 20001",(844) 529-1864,"2,005.00","5,072.00",1-2 Beds,1-2 Baths,488,"1,350"
JBG Smith Living,Central Place,"1800 North Lynn St., Arlington, VA 22209",(844) 879-1123,"2,125.00","7,115.00",Studio-3 Beds,1-3.5 Baths,477,"2,737"
JBG Smith Living,F1RST Residences,"1263 First St. SE, Washington, DC 20003",(844) 360-7263,"2,217.00","4,974.00",Studio-2 Beds,1-2 Baths,"1,497","1,497"
JBG Smith Living,Judd and Weiler,"1611 Eckington Pl. NE, Washington, DC 20002",(833) 595-8271,"1,350.00","3,958.00",Studio-3 Beds,1-3 Baths,430,"1,859"
JBG Smith Living,London Normandy House,"1701 N Kent St., Arlington, VA 22209",(833) 237-9364,"2,250.00","4,131.00",Studio-3 Beds,1-2 Baths,551,"2,000"
JBG Smith Living,Olde Salem Village,"6084 Argyle Dr. Suite B, Falls Church, VA 22041",(844) 843-1088,"1,395.00","3,484.00",1-2 Beds,1 Bath,499,"1,362"
JBG Smith Living,RiverHouse,"1400 South Joyce St., Arlington, VA 22202",(833) 634-3290,"1,680.00","6,276.00",Studio-3 Beds,1-2 Baths,485,"1,495"
JBG Smith Living,The Bartlett,"520 12th St. S, Arlington, VA 22202",(833) 291-2695,"2,613.00","7,870.00",Studio-3 Beds,1-2 Baths,534,"1,581"
JBG Smith Living,The Batley,"1270 4th St. NE, Washington, DC 20002",(833) 461-8718,"1,881.00","6,928.00",Studio-2 Beds,1-2.5 Baths,453,"1,345"
JBG Smith Living,The Wren DC,"965 Florida Ave. NW, Washington, DC 20001",(833) 377-5150,"1,965.00","5,842.00",Studio-3 Beds,1-3 Baths,373,"1,510"
JBG Smith Living,West Half | 1205,"1201 Half St. SE, Washington, DC 20003",(833) 873-1480,"2,000.00","5,411.00",Studio-3 Beds,0-3.5 Baths,365,"2,021"
JBG Smith Living,WestEnd25,"1255 25th St. NW, Washington, DC 20037",(833) 236-7221,"2,741.00","7,933.00",Studio-2 Beds,1-3 Baths,"1,928","1,928"
