company_name,building_name,raw_address
Lantower Living,Lantower Ambrosio,"14301 N. Interstate 35, Pflugerville, TX 78660"
Lantower Living,Lantower Asturia,"15175 Integra Junction, Odessa, FL 33556"
Lantower Living,Lantower Brandon Crossroads,"10440 Sanderling Shores Dr, Tampa, FL 33619"
Lantower Living,Lantower Bullhouse,"504 E. Pettigrew St, Durham, NC 27701"
Lantower Living,Lantower Cypress Creek,"1810 SWEETBROOM CIR, LUTZ, FL 33559"
Lantower Living,Lantower Edgewater,"14201 N. IH 35, Pflugerville, TX 78660"
Lantower Living,Lantower Garrison Park,"2725 Reseda Place, Charlotte, NC 28262"
Lantower Living,Lantower Grande Flats,"3512 Grande Reserve Way, Orlando, FL 32837"
Lantower Living,Lantower Grande Pines,"11128 Grande Pines Circle, Orlando, FL 32821"
Lantower Living,Lantower Legacy Lakes,"2600 Lake Ridge Road, Lewisville, TX 75056"
Lantower Living,Lantower Midtown,"10658 N Central Expressway, Dallas, TX 75231"
Lantower Living,Lantower Round Rock,"1801 Warner Ranch Drive, Round Rock, TX 78664"
Lantower Living,Lantower Tech Ridge,"14233 The Lakes Blvd, Austin, TX 78660"
Lantower Living,Lantower Waverly,"6101 Ardrey Kell Rd, Charlotte, NC 28277"
Lantower Living,Lantower West Love,"2275 Hawes Ave, Dallas, TX 75235"
Lantower Living,Lantower Weston Corners,"6000 Elevate Circle, Cary, NC 27513"
Lantower Living,Lantower Westshore,"4504 W. Spruce St, Tampa, FL 33607"
Lantower Living,Realm at Patterson Place,"3767 SW Durham Drive, Durham, NC 27707"
Lantower Living,Residences at the Collection,"4025 Huffines Blvd, Lot 3R, Carrollton, TX 75010"
Lantower Living,South Side on Lamar,"1409 Botham Jean Boulevard, Dallas, TX 75215"
Lantower Living,The Cortona,"325 Murray Farm Road, Fairview, TX 75069"
Lantower Living,Tortuga Bay at Waterford Lakes,"12932 Mallory Circle, Orlando, FL 32828"
