company_name,building_name,raw_address,phone
Paradigm Companies,Meridian at Grosvenor Station,"5230 Tuckerman Ln, North Bethesda, MD 20852",301-232-0220
Paradigm Companies,Carlyle Place,"2251 Eisenhower Ave, Alexandria, VA 22314",571-321-7140
Paradigm Companies,Meridian at Braddock Station,"1200 First St, Alexandria, VA 22314",703-348-6264
Paradigm Companies,Parc Meridian,"750 Port St, Alexandria, VA 22314",703-348-6250
Paradigm Companies,Meridian at Eisenhower,"2351 Eisenhower Ave, Alexandria, VA 22314",703-348-3601
Paradigm Companies,Creekside Village I,"7979 Janna Lee Avenue, Alexandria, VA 22306",(703) 527-7500
Paradigm Companies,Meridian 2250 at Eisenhower Station,"2250 Dock Lane, Alexandria, VA 22314",(703) 202-4532
Paradigm Companies,Ballston Park,"351 N Glebe Rd, Arlington, VA 22314",571-449-3846
Paradigm Companies,Meridian at Ballston Commons,"900 N Stuart St, Arlington, VA 22203",703-348-4260
Paradigm Companies,Meridian at Courthouse Commons,"1401 N Taft St, Arlington, VA 22201",703-348-6285
Paradigm Companies,The Madison at Ballston Station,"4401 4th St N, Arlington, VA 22203",703-527-4040
Paradigm Companies,Quebec Apartments,"4014 Columbia Pike, Arlington, VA 22204",703-521-3313
Paradigm Companies,Monterey Apartments,"813 South Greenbrier St, Arlington, VA 22204",703-379-6656
Paradigm Companies,Colonial Village West,"2111 N. Key Blvd, Arlington, VA 22201",703-524-1337
Paradigm Companies,Key Boulevard,"1537 Key Boulevard, Arlington, VA 22201",703-524-1337
Paradigm Companies,The Jordan,"801 N Wakefield St, Arlington, VA 22203",571-970-1876
Paradigm Companies,Arlington View Terrace,"1429 S Rolfe St., Arlington, VA 22204",703-521-4010
Paradigm Companies,Residences at Government Center,"11851 Monument Dr, Fairfax, VA 22030",703-865-0100
Paradigm Companies,Belmont at One University,"4518 University Drive, Fairfax, VA 22030",703-774-3773
Paradigm Companies,Robinson at One University,"4530 University Drive, Fairfax, VA 22030",(703) 774-3799
Paradigm Companies,East Falls Apartments,"2913-A Peyton Randolph Dr, Falls Church, VA 22044",703-533-1611
