company_name,building_name,raw_address,author
Air Communities,"Upton Place
4000 Wisconsin Ave NW, Washington, DC 20016","4000 Wisconsin Ave NW, Washington, DC 20016",Patrick
Air Communities,"Ravel & Royale on Strathmore Square
10511 Strathmore Hall St, North Bethesda, MD 20852","10511 Strathmore Hall St, North Bethesda, MD 20852",Patrick
Air Communities,"Palazzo East Apartments
348 S Hauser Blvd, Los Angeles, CA 90036","348 S Hauser Blvd, Los Angeles, CA 90036",Patrick
Air Communities,"Flats 8300
8300 Wisconsin Ave, Bethesda, MD 20814","8300 Wisconsin Ave, Bethesda, MD 20814",Patrick
Air Communities,"Township Residences
901 E Phillips Ln, Centennial, CO 80122","901 E Phillips Ln, Centennial, CO 80122",Patrick
Air Communities,"Vivo Apartments
270 Third Street, Cambridge, MA 02142","270 Third Street, Cambridge, MA 02142",Patrick
Air Communities,"Tremont Apartments
3645 Habersham Rd NE, Atlanta, GA 30305","3645 Habersham Rd NE, Atlanta, GA 30305",Patrick
Air Communities,"Axiom Apartments
33 Rogers Street, Cambridge, MA 02142","33 Rogers Street, Cambridge, MA 02142",Patrick
Air Communities,"Olde Towne Residences
2301 Ostracod Ln, Raleigh, NC 27610","2301 Ostracod Ln, Raleigh, NC 27610",Patrick
Air Communities,"Saybrook Pointe
401 Briar Ridge Drive, San Jose, CA 95123","401 Briar Ridge Drive, San Jose, CA 95123",Patrick
Air Communities,"The Reserve at Coconut Point
22980 Vista Edera Cir, Estero, FL 33928","22980 Vista Edera Cir, Estero, FL 33928",Patrick
Air Communities,"Mezzo Apartments
2171 Peachtree Rd NW, Atlanta, GA 30309","2171 Peachtree Rd NW, Atlanta, GA 30309",Patrick
Air Communities,"Island Club Apartments
2300 Catalina Cir, Oceanside, CA 92056","2300 Catalina Cir, Oceanside, CA 92056",Patrick
Air Communities,"Boulder Creek Apartments
3455 Table Mesa Dr, Boulder, CO 80305","3455 Table Mesa Dr, Boulder, CO 80305",Patrick
Air Communities,"Palazzo West
6220 W 3rd St, Los Angeles, CA 90036","6220 W 3rd St, Los Angeles, CA 90036",Patrick
Air Communities,"One Greenway
Hudson & Kneeland, Boston, MA 02111","Hudson & Kneeland, Boston, MA 02111",Patrick
Air Communities,"Peachtree Park Apartments
1000 Peachtree Park Dr NE, Atlanta, GA 30309","1000 Peachtree Park Dr NE, Atlanta, GA 30309",Patrick
Air Communities,"Bank and Boston Lofts
817 17th St, Denver, CO 80202","817 17th St, Denver, CO 80202",Patrick
Air Communities,"The Elm
4710 Elm St, Bethesda, MD 20814","4710 Elm St, Bethesda, MD 20814",Patrick
Air Communities,"Indian Oaks
5505 Cochran St, Simi Valley, CA 93063","5505 Cochran St, Simi Valley, CA 93063",Patrick
Air Communities,"Lincoln Place
1050 Frederick St, Venice, CA 90291","1050 Frederick St, Venice, CA 90291",Patrick
Air Communities,"Chestnut Hall
3900 Chestnut St, Philadelphia, PA 19104","3900 Chestnut St, Philadelphia, PA 19104",Patrick
Air Communities,"Preserve at Marin
350 Robin Dr, Corte Madera, CA 94925","350 Robin Dr, Corte Madera, CA 94925",Patrick
Air Communities,"Sunnybrook Residences
2421 Brightcreek Falls Trl, Raleigh, NC 27610","2421 Brightcreek Falls Trl, Raleigh, NC 27610",Patrick
Air Communities,"1045 on The Park
1045 Piedmont Ave NE, Atlanta, GA 30309","1045 Piedmont Ave NE, Atlanta, GA 30309",Patrick
Air Communities,"The Fremont
13021 E 21st Ave, Aurora, CO 80045","13021 E 21st Ave, Aurora, CO 80045",Patrick
Air Communities,"The District at Flagler Village
555 NE 8th St, Fort Lauderdale, FL 33304","555 NE 8th St, Fort Lauderdale, FL 33304",Patrick
Air Communities,"Monterey Grove
6100 Monterey Hwy, San Jose, CA 95138","6100 Monterey Hwy, San Jose, CA 95138",Patrick
Air Communities,"Charlesbank Apartment Homes
120 Pleasant St, Watertown, MA 02472","120 Pleasant St, Watertown, MA 02472",Patrick
Air Communities,"The Beach Club Residences
2900 Thomas Ave S, Minneapolis, MN 55416","2900 Thomas Ave S, Minneapolis, MN 55416",Patrick
Air Communities,"Parc Mosaic Apartment Homes
1590 Eisenhower Dr, Boulder, CO 80303","1590 Eisenhower Dr, Boulder, CO 80303",Patrick
Air Communities,"The Watermarc at Biscayne Bay
2150 N Bayshore Dr, Miami, FL 33137","2150 N Bayshore Dr, Miami, FL 33137",Patrick
Air Communities,"Prism
50 Rogers St, Cambridge, MA 02142","50 Rogers St, Cambridge, MA 02142",Patrick
Air Communities,"The Sterling
1815 John F Kennedy Blvd, Philadelphia, PA 19103","1815 John F Kennedy Blvd, Philadelphia, PA 19103",Patrick
Air Communities,"One Canal Apartments
1 Canal St, Boston, MA 02114","1 Canal St, Boston, MA 02114",Patrick
Air Communities,"Southstar Lofts
521 S Broad St, Philadelphia, PA 19147","521 S Broad St, Philadelphia, PA 19147",Patrick
Air Communities,"Hidden Cove Apartments
910 Del Dios Hwy, Escondido, CA 92029","910 Del Dios Hwy, Escondido, CA 92029",Patrick
Air Communities,"Huntington Gateway
5982 Richmond Hwy, Alexandria, VA 22303","5982 Richmond Hwy, Alexandria, VA 22303",Patrick
Air Communities,"The Left Bank Apartments
3131 Walnut St, Philadelphia, PA 19104","3131 Walnut St, Philadelphia, PA 19104",Patrick
Air Communities,"Villas at Park La Brea
5555 W 6th St, Los Angeles, CA 90036","5555 W 6th St, Los Angeles, CA 90036",Patrick
Air Communities,"Bay Parc Apartment Homes
1756 N Bayshore Dr, Miami, FL 33132","1756 N Bayshore Dr, Miami, FL 33132",Patrick
Air Communities,"Malibu Canyon
5758 Las Virgenes Rd, Calabasas, CA 91302","5758 Las Virgenes Rd, Calabasas, CA 91302",Patrick
Air Communities,"Yorktown Apartment Homes
2233 S Highland Ave, Lombard, IL 60148","2233 S Highland Ave, Lombard, IL 60148",Patrick
Allied Orion Group,"Allora Bear Creek
11918 Clay Rd, Houston, TX 77043","11918 Clay Rd, Houston, TX 77043",Patrick
Allied Orion Group,"NOVU New Forest
6301 Pale Sage Dr, Houston, TX 77049","6301 Pale Sage Dr, Houston, TX 77049",Patrick
Allied Orion Group,"Park at Siena
6901 County Road 110, Round Rock, TX 78665","6901 County Road 110, Round Rock, TX 78665",Patrick
Allied Orion Group,"FalconView
10691 Cadence Pt, Colorado Springs, CO 80921","10691 Cadence Pt, Colorado Springs, CO 80921",Patrick
Allied Orion Group,"Haven at Main
8700 Main St, Houston, TX 77025","8700 Main St, Houston, TX 77025",Patrick
Allied Orion Group,"Thrive Almeda Genoa
10100 Almeda Genoa Rd, Houston, TX 77075","10100 Almeda Genoa Rd, Houston, TX 77075",Patrick
Allied Orion Group,"Lively at Cypress Creek
13030 Perry Rd, Houston, TX 77070","13030 Perry Rd, Houston, TX 77070",Patrick
Allied Orion Group,"11 Eleven
1111 Blalock Rd, Houston, TX 77055","1111 Blalock Rd, Houston, TX 77055",Patrick
Allied Orion Group,"Park at Crystal Falls
7740 183A Toll Rd, Leander, TX 78641","7740 183A Toll Rd, Leander, TX 78641",Patrick
Allied Orion Group,"Territory at 2920
3880 FM 2920 Rd, Spring, TX 77388","3880 FM 2920 Rd, Spring, TX 77388",Patrick
Allied Orion Group,"Territory Williams Way
5131 Williams Way Blvd, Richmond, TX 77469","5131 Williams Way Blvd, Richmond, TX 77469",Patrick
Allied Orion Group,"Territory at Anserra
4000 Anserra Trl, Katy, TX 77494","4000 Anserra Trl, Katy, TX 77494",Patrick
Allied Orion Group,"The Sophie
108 Oak Creek Way, New Braunfels, TX 78130","108 Oak Creek Way, New Braunfels, TX 78130",Patrick
Allied Orion Group,"The Collective Glendale
1250 S Clermont St, Denver, CO 80246","1250 S Clermont St, Denver, CO 80246",Patrick
Allied Orion Group,"200 Carondelet
200 Carondelet St, New Orleans, LA 70130","200 Carondelet St, New Orleans, LA 70130",Patrick
Allied Orion Group,"Allora Klein Crossing
19025 Stuebner Airline Rd, Spring, TX 77379","19025 Stuebner Airline Rd, Spring, TX 77379",Patrick
Allied Orion Group,"Smart Living Allen Genoa
1514 Allen Genoa Rd, Houston, TX 77017","1514 Allen Genoa Rd, Houston, TX 77017",Patrick
Allied Orion Group,"Smart Living at Telephone
3852 Telephone Rd, Houston, TX 77023","3852 Telephone Rd, Houston, TX 77023",Patrick
Allied Orion Group,"Park on Napoli
13802 Napoli Dr, Houston, TX 77070","13802 Napoli Dr, Houston, TX 77070",Patrick
Allied Orion Group,"Hollow Tree Park
101 Hollow Tree Ln, Houston, TX 77090","101 Hollow Tree Ln, Houston, TX 77090",Patrick
Allied Orion Group,"Virtuo Spring
4114 Farm to Market 2920, Spring, TX 77388","4114 Farm to Market 2920, Spring, TX 77388",Patrick
Allied Orion Group,"Memorial at Six
816 Addicks-Howell Rd, Houston, TX 77079","816 Addicks-Howell Rd, Houston, TX 77079",Patrick
Allied Orion Group,"City View Lofts
15 Chenevert St, Houston, TX 77002","15 Chenevert St, Houston, TX 77002",Patrick
Allied Orion Group,"Retreat at Riverstone
18545 University Blvd, Sugar Land, TX 77479","18545 University Blvd, Sugar Land, TX 77479",Patrick
Allied Orion Group,"1300 North Post Oak
1300 N Post Oak Rd, Houston, TX 77055","1300 N Post Oak Rd, Houston, TX 77055",Patrick
