,RegionName,StateName,Year-Month,ZORI,AffectedCity,AffectedTime,Year,Month,TimeTrend,ZORI-Lag1
0,United States,,2015-01-31,1184.433765159107,,0,2015,1,0,
1,"New York, NY",NY,2015-01-31,2209.959115845372,0.0,0,2015,1,0,
2,"Los Angeles, CA",CA,2015-01-31,1684.2376694074885,0.0,0,2015,1,0,
3,"Chicago, IL",IL,2015-01-31,1366.4418786077767,0.0,0,2015,1,0,
4,"Dallas, TX",TX,2015-01-31,1024.6388918875896,1.0,0,2015,1,0,
5,"Houston, TX",TX,2015-01-31,1138.420831343319,0.0,0,2015,1,0,
6,"Washington, DC",VA,2015-01-31,1734.483959285226,1.0,0,2015,1,0,
7,"Philadelphia, PA",PA,2015-01-31,1246.9033140583758,0.0,0,2015,1,0,
8,"Miami, FL",FL,2015-01-31,1357.3235441916893,0.0,0,2015,1,0,
9,"Atlanta, GA",GA,2015-01-31,997.4053028269418,1.0,0,2015,1,0,
10,"Boston, MA",MA,2015-01-31,2026.2413701871324,0.0,0,2015,1,0,
11,"Phoenix, AZ",AZ,2015-01-31,816.4140647372335,1.0,0,2015,1,0,
12,"San Francisco, CA",CA,2015-01-31,2221.396101826457,0.0,0,2015,1,0,
13,"Riverside, CA",CA,2015-01-31,1154.4145513890558,0.0,0,2015,1,0,
14,"Detroit, MI",MI,2015-01-31,805.7672079077392,0.0,0,2015,1,0,
15,"Seattle, WA",WA,2015-01-31,1337.2966095645077,0.0,0,2015,1,0,
16,"Minneapolis, MN",MN,2015-01-31,1119.6130805797238,0.0,0,2015,1,0,
17,"San Diego, CA",CA,2015-01-31,1515.267128399016,0.0,0,2015,1,0,
18,"Tampa, FL",FL,2015-01-31,936.5942112250076,1.0,0,2015,1,0,
19,"Denver, CO",CO,2015-01-31,1217.5932214154473,1.0,0,2015,1,0,
20,"Baltimore, MD",MD,2015-01-31,1279.9794571158764,,0,2015,1,0,
21,"St. Louis, MO",MO,2015-01-31,823.062032452473,,0,2015,1,0,
22,"Orlando, FL",FL,2015-01-31,1059.8247107925924,,0,2015,1,0,
23,"Charlotte, NC",NC,2015-01-31,952.945297824646,,0,2015,1,0,
24,"San Antonio, TX",TX,2015-01-31,956.3583930676213,,0,2015,1,0,
25,"Portland, OR",OR,2015-01-31,1094.8539245258755,,0,2015,1,0,
26,"Sacramento, CA",CA,2015-01-31,1031.9645740157182,,0,2015,1,0,
27,"Pittsburgh, PA",PA,2015-01-31,953.6768663941068,,0,2015,1,0,
28,"Cincinnati, OH",OH,2015-01-31,777.2161057370319,,0,2015,1,0,
29,"Austin, TX",TX,2015-01-31,1098.673105943329,,0,2015,1,0,
30,"Las Vegas, NV",NV,2015-01-31,843.9585446890533,0.0,0,2015,1,0,
31,"Kansas City, MO",MO,2015-01-31,825.2561058378768,,0,2015,1,0,
32,"Columbus, OH",OH,2015-01-31,827.9093311427747,,0,2015,1,0,
33,"Indianapolis, IN",IN,2015-01-31,799.5302067486726,,0,2015,1,0,
34,"Cleveland, OH",OH,2015-01-31,737.2291466282624,,0,2015,1,0,
