,RegionName,StateName,Year-Month,ZORI,AffectedCity,AffectedTime,Year,Month,TimeTrend,ZORI-Lag1
1,"New York, NY",NY,2015-01-31,2209.959115845372,0,0,2015,1,0,
2,"Los Angeles, CA",CA,2015-01-31,1684.2376694074885,0,0,2015,1,0,
3,"Chicago, IL",IL,2015-01-31,1366.4418786077767,0,0,2015,1,0,
4,"Dallas, TX",TX,2015-01-31,1024.6388918875896,1,0,2015,1,0,
5,"Houston, TX",TX,2015-01-31,1138.420831343319,0,0,2015,1,0,
6,"Washington, DC",VA,2015-01-31,1734.483959285226,1,0,2015,1,0,
7,"Philadelphia, PA",PA,2015-01-31,1246.9033140583758,0,0,2015,1,0,
8,"Miami, FL",FL,2015-01-31,1357.3235441916893,0,0,2015,1,0,
9,"Atlanta, GA",GA,2015-01-31,997.4053028269418,1,0,2015,1,0,
10,"Boston, MA",MA,2015-01-31,2026.2413701871324,0,0,2015,1,0,
11,"Phoenix, AZ",AZ,2015-01-31,816.4140647372335,1,0,2015,1,0,
12,"San Francisco, CA",CA,2015-01-31,2221.396101826457,0,0,2015,1,0,
13,"Riverside, CA",CA,2015-01-31,1154.4145513890558,0,0,2015,1,0,
14,"Detroit, MI",MI,2015-01-31,805.7672079077392,0,0,2015,1,0,
15,"Seattle, WA",WA,2015-01-31,1337.2966095645077,0,0,2015,1,0,
16,"Minneapolis, MN",MN,2015-01-31,1119.6130805797238,0,0,2015,1,0,
17,"San Diego, CA",CA,2015-01-31,1515.267128399016,0,0,2015,1,0,
18,"Tampa, FL",FL,2015-01-31,936.5942112250076,1,0,2015,1,0,
19,"Denver, CO",CO,2015-01-31,1217.5932214154473,1,0,2015,1,0,
30,"Las Vegas, NV",NV,2015-01-31,843.9585446890533,0,0,2015,1,0,
494,"New York, NY",NY,2015-02-28,2222.416105480161,0,0,2015,2,1,2209.959115845372
495,"Los Angeles, CA",CA,2015-02-28,1698.8792456914475,0,0,2015,2,1,1684.2376694074885
496,"Chicago, IL",IL,2015-02-28,1374.35852919296,0,0,2015,2,1,1366.4418786077767
497,"Dallas, TX",TX,2015-02-28,1021.8520279826056,1,0,2015,2,1,1024.6388918875896
498,"Houston, TX",TX,2015-02-28,1144.3440979696502,0,0,2015,2,1,1138.420831343319
499,"Washington, DC",VA,2015-02-28,1719.2563499300354,1,0,2015,2,1,1734.483959285226
500,"Philadelphia, PA",PA,2015-02-28,1251.3002112417132,0,0,2015,2,1,1246.9033140583758
501,"Miami, FL",FL,2015-02-28,1370.1370378756912,0,0,2015,2,1,1357.3235441916893
502,"Atlanta, GA",GA,2015-02-28,1008.4673064637766,1,0,2015,2,1,997.4053028269418
503,"Boston, MA",MA,2015-02-28,2048.312458907508,0,0,2015,2,1,2026.2413701871324
